# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       4.882096147796e-04      -2.643121163272e-03      -2.461561036122e-04      -2.037712866948e-01      -3.519350576434e-03      -1.864354415059e-04      -1.095498161360e-01       2.119366505515e-04      -2.093836710466e-02       1.032756536104e+03 
       5.216533592001e-04      -3.213634174381e-03      -2.993785274612e-04      -2.063473588064e-01      -4.606888396362e-03      -6.788825382679e-05      -1.250569045573e-01       2.510590814168e-04      -2.545266680119e-02       1.100161967476e+03 
       5.574336111076e-04      -3.907794185140e-03      -3.641636521296e-04      -2.092931279555e-01      -4.847435374663e-03      -1.276547882389e-04      -1.427832893113e-01       3.018332459956e-04      -3.094619131646e-02       1.171953243761e+03 
       5.957491561832e-04      -4.753212878225e-03      -4.431021406276e-04      -2.126650783223e-01      -5.705776527567e-03      -1.009027720451e-04      -1.630655396671e-01       3.652462995259e-04      -3.763800271941e-02       1.248466713838e+03 
       6.368024128256e-04      -5.783518762838e-03      -5.393520615295e-04      -2.165276123928e-01      -6.577659000831e-03      -5.142296810976e-05      -1.862890742765e-01       4.461850589422e-04      -4.579502546389e-02       1.330034593297e+03 
       6.807951847174e-04      -7.039446328855e-03      -6.567426903470e-04      -2.209529057886e-01      -7.272057454227e-03      -1.667062604161e-04      -2.128882300583e-01       5.498397747094e-04      -5.574075519890e-02       1.416975352334e+03 
       7.279234067888e-04      -8.570002245489e-03      -7.998861427711e-04      -2.260227654422e-01      -8.624615731581e-03      -5.676801126613e-05      -2.433472487847e-01       6.819540507476e-04      -6.786460184604e-02       1.509582327621e+03 
       7.783710154798e-04      -1.043366008995e-02      -9.742924389957e-04      -2.318260023059e-01      -9.559887008630e-03      -1.908642449072e-04      -2.782029487759e-01       8.519855629343e-04      -8.263148680908e-02       1.608110968454e+03 
       8.323032229236e-04      -1.269951537565e-02      -1.186481729214e-03      -2.384611895802e-01      -1.109859745475e-02      -1.465723146382e-04      -3.180382867585e-01       1.069610026625e-03      -1.005911558718e-01       1.712765435707e+03 
       8.898596308005e-04      -1.544831465257e-02      -1.444085694592e-03      -2.460329258696e-01      -1.261076556520e-02      -1.999260060667e-04      -3.634810524750e-01       1.348812710322e-03      -1.223865249582e-01       1.823685494625e+03 
       9.511477507798e-04      -1.877326111977e-02      -1.755929029863e-03      -2.546525319986e-01      -1.431887038633e-02      -2.663243777448e-04      -4.151936640941e-01       1.705946005639e-03      -1.487602830953e-01       1.940934958166e+03 
