# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.608045647471e-10       7.355875304023e-15       2.204624600019e-13       0.000000000000e+00       8.870219894075e-11       9.687217525969e-12      -7.596432764760e-15 
   41       1.633679428626e-10       7.997813602831e-15       2.115382442880e-13       0.000000000000e+00       8.436325890877e-11       9.249448100336e-12      -7.615915006483e-15 
   42       1.659646018231e-10       8.675123183285e-15       2.011951582123e-13       0.000000000000e+00       8.030259269365e-11       8.839706480413e-12      -7.812335397853e-15 
   43       1.685880591001e-10       9.388355582203e-15       1.893481508528e-13       0.000000000000e+00       7.650971447537e-11       8.456523465749e-12      -8.082076236379e-15 
   44       1.712267710513e-10       1.013799411408e-14       1.759041287063e-13       0.000000000000e+00       7.295742139786e-11       8.096637777130e-12      -8.298432587557e-15 
   45       1.738689218487e-10       1.092448535267e-14       1.607778042341e-13       0.000000000000e+00       6.961159059927e-11       7.756126537211e-12      -8.343415706687e-15 
   46       1.765195007401e-10       1.174835359301e-14       1.439461826930e-13       0.000000000000e+00       6.646720357910e-11       7.434532933257e-12      -8.217741519810e-15 
   47       1.791876060597e-10       1.261011426109e-14       1.254094327407e-13       0.000000000000e+00       6.352082467566e-11       7.131732044480e-12      -7.961385493386e-15 
   48       1.818815516756e-10       1.351024001181e-14       1.051762902933e-13       0.000000000000e+00       6.075973250395e-11       6.846699720190e-12      -7.623780847509e-15 
   49       1.846087415923e-10       1.444915902510e-14       8.326445492464e-14       0.000000000000e+00       5.816122820268e-11       6.577444433457e-12      -7.264354367939e-15 
   50       1.873745718030e-10       1.542721562797e-14       5.969304643443e-14       0.000000000000e+00       5.569951689139e-11       6.321669499480e-12      -6.941414973148e-15 
   51       1.901790753593e-10       1.644454351234e-14       3.445664100496e-14       0.000000000000e+00       5.337015897487e-11       6.079129740080e-12      -6.674020673003e-15 
   52       1.930191498869e-10       1.750115515852e-14       7.544872653987e-15       0.000000000000e+00       5.117106013153e-11       5.849796714017e-12      -6.470687011023e-15 
   53       1.958892836317e-10       1.859697310738e-14      -2.105022067699e-14       0.000000000000e+00       4.909515077416e-11       5.633151286716e-12      -6.340117641434e-15 
   54       1.987813842855e-10       1.973182648361e-14      -5.133417436202e-14       0.000000000000e+00       4.713005068335e-11       5.428149854029e-12      -6.291192035558e-15 
   55       2.016875838416e-10       2.090550891929e-14      -8.331262045701e-14       0.000000000000e+00       4.526187074234e-11       5.233548337099e-12      -6.329542835918e-15 
   56       2.046098612615e-10       2.211797713968e-14      -1.169996440114e-13       0.000000000000e+00       4.348849239512e-11       5.049045798309e-12      -6.446320403311e-15 
   57       2.075525104607e-10       2.336919562066e-14      -1.524114627767e-13       0.000000000000e+00       4.180899966986e-11       4.874365762351e-12      -6.626615608792e-15 
   58       2.105193196970e-10       2.465907844989e-14      -1.895641377311e-13       0.000000000000e+00       4.021966071742e-11       4.708903930788e-12      -6.852483639401e-15 
   59       2.135135163451e-10       2.598748824231e-14      -2.284736495188e-13       0.000000000000e+00       3.871375363049e-11       4.551708344945e-12      -7.102798833684e-15 
   60       2.165377116727e-10       2.735423505564e-14      -2.691559748889e-13       0.000000000000e+00       3.728139226276e-11       4.401459548812e-12      -7.353109517207e-15 
   61       2.195939199149e-10       2.875906971625e-14      -3.116245075934e-13       0.000000000000e+00       3.591228557318e-11       4.256839063726e-12      -7.581139553748e-15 
   62       2.226837454340e-10       3.020166449953e-14      -3.558814716681e-13       0.000000000000e+00       3.460513346969e-11       4.117776338918e-12      -7.785064433575e-15 
   63       2.258081397637e-10       3.168162616880e-14      -4.019247076410e-13       0.000000000000e+00       3.336004047450e-11       3.984447764886e-12      -7.969098521723e-15 
   64       2.289672791980e-10       3.319849994553e-14      -4.497501503340e-13       0.000000000000e+00       3.217568880500e-11       3.856905692378e-12      -8.138243662003e-15 
   65       2.321605119233e-10       3.475176824741e-14      -4.993518210429e-13       0.000000000000e+00       3.104925727148e-11       3.735070916121e-12      -8.298323178532e-15 
