# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       4.882096147796e-04      -2.643120813023e-03      -2.461560990999e-04      -2.416667678545e-01      -3.658270332372e-03      -1.361814486085e-04      -1.084521171593e-01       2.126420054188e-04      -2.094088202403e-02       1.032756536402e+03 
       5.216533592001e-04      -3.213633837753e-03      -2.993785181848e-04      -2.441786447031e-01      -4.395599724312e-03      -6.891737077691e-05      -1.238040497122e-01       2.521669269147e-04      -2.545535420331e-02       1.100161966635e+03 
       5.574336111076e-04      -3.907793881035e-03      -3.641636348420e-04      -2.470510763020e-01      -5.147359728411e-03      -7.211123225590e-06      -1.413520309212e-01       3.019527976680e-04      -3.094906395877e-02       1.171953240372e+03 
       5.957491561832e-04      -4.753212707271e-03      -4.431021163763e-04      -2.503390911475e-01      -5.801634316210e-03      -3.180527951583e-05      -1.614308271023e-01       3.650185820546e-04      -3.764107514796e-02       1.248466710501e+03 
       6.368024128256e-04      -5.783518868746e-03      -5.393520323101e-04      -2.541053980768e-01      -6.460178514682e-03      -1.079759064892e-04      -1.844212746624e-01       4.452406007299e-04      -4.579831384213e-02       1.330034591363e+03 
       6.807951847174e-04      -7.039446879802e-03      -6.567426555225e-04      -2.584208149463e-01      -7.291546744472e-03      -1.618285486570e-04      -2.107531396614e-01       5.475808173940e-04      -5.574427710658e-02       1.416975351691e+03 
       7.279234067888e-04      -8.570003372123e-03      -7.998860932934e-04      -2.633644673150e-01      -8.402059022928e-03      -1.538066950356e-04      -2.409065808972e-01       6.784898987153e-04      -6.786837586776e-02       1.509582328174e+03 
       7.783710154798e-04      -1.043366183007e-02      -9.742923503056e-04      -2.690237542871e-01      -9.717051000948e-03      -1.255469810390e-04      -2.754119887953e-01       8.462527755940e-04      -8.263553201970e-02       1.608110966637e+03 
       8.323032229236e-04      -1.269951797917e-02      -1.186481583907e-03      -2.754940672806e-01      -1.113475554651e-02      -1.315425452648e-04      -3.148474651456e-01       1.061401381078e-03      -1.005954940760e-01       1.712765430572e+03 
       8.898596308005e-04      -1.544831875716e-02      -1.444085492234e-03      -2.828779207160e-01      -1.263459568214e-02      -1.910361741619e-04      -3.598338736636e-01       1.337106893709e-03      -1.223911817573e-01       1.823685490518e+03 
       9.511477507798e-04      -1.877326749374e-02      -1.755928762765e-03      -2.912837462523e-01      -1.432479659147e-02      -2.671648540504e-04      -4.110272245486e-01       1.689745046142e-03      -1.487652858178e-01       1.940934955379e+03 
       1.016237566123e-03      -2.278050925044e-02      -2.132081530420e-03      -3.008242549291e-01      -1.629941364091e-02      -3.302049657718e-04      -4.691085809068e-01       2.139424429681e-03      -1.805643549188e-01       2.064492887192e+03 
       1.085157739717e-03      -2.758921403412e-02      -2.583875019724e-03      -3.116144696876e-01      -1.858501165722e-02      -3.806857735304e-04      -5.347720779656e-01       2.710555787959e-03      -2.187397080849e-01       2.194248684449e+03 
       1.157893933083e-03      -3.333120796651e-02      -3.123875465346e-03      -3.237695979203e-01      -2.114698268104e-02      -4.459302469207e-04      -6.087116340518e-01       3.432412201911e-03      -2.643447639242e-01       2.330001832836e+03 
       1.234389463579e-03      -4.015014478752e-02      -3.765815268700e-03      -3.374028066710e-01      -2.397230155903e-02      -5.436557375357e-04      -6.916074532073e-01       4.339491729855e-03      -3.185287105447e-01       2.471466515777e+03 
       1.314548237718e-03      -4.820026082447e-02      -4.524485083594e-03      -3.526231788706e-01      -2.707200160316e-02      -6.809666399834e-04      -7.841133766226e-01       5.471959179381e-03      -3.825268434270e-01       2.618281060523e+03 
       1.398239619509e-03      -5.764450631812e-02      -5.415567298711e-03      -3.695339246166e-01      -3.047633023258e-02      -8.565685261613e-04      -8.868459567519e-01       6.875832835679e-03      -4.576459395170e-01       2.770007462195e+03 
       1.485304683764e-03      -6.865324801790e-02      -6.455521604509e-03      -3.882309886804e-01      -3.420949751131e-02      -1.071582065997e-03      -1.000375880335e+00       8.603276509197e-03      -5.452540455522e-01       2.926176140432e+03 
       1.575563203249e-03      -8.140223591929e-02      -7.661401153157e-03      -4.088021071880e-01      -3.828287745139e-02      -1.332312782820e-03      -1.125222148509e+00       1.071251243371e-02      -6.467644217881e-01       3.086290592031e+03 
       1.668820731233e-03      -9.607038766756e-02      -9.050650615061e-03      -4.313262855775e-01      -4.270026240370e-02      -1.647934012318e-03      -1.261848884206e+00       1.326785599322e-02      -7.636180033116e-01       3.249830797098e+03 
       1.764875244855e-03      -1.128381180253e-01      -1.064095368783e-02      -4.558736910026e-01      -4.746105159483e-02      -2.029129938219e-03      -1.410664702518e+00       1.633949540533e-02      -8.972700951176e-01       3.416275696749e+03 
       1.863522970598e-03      -1.318856839776e-01      -1.245008097620e-02      -4.825058584169e-01      -5.256130338234e-02      -2.487687260938e-03      -1.572023968836e+00       2.000327652820e-02      -1.049177159781e+00       3.585115273483e+03 
       1.964563180755e-03      -1.533917362291e-01      -1.449575606397e-02      -5.112762006613e-01      -5.799327335543e-02      -3.036741528743e-03      -1.746229647022e+00       2.434036640803e-02      -1.220785207287e+00       3.755860018901e+03 
       2.067801897985e-03      -1.775320844688e-01      -1.679554059662e-02      -5.422305834503e-01      -6.374428197644e-02      -3.691305838482e-03      -1.933537063014e+00       2.943695952346e-02      -1.413519856388e+00       3.928047604362e+03 
       2.173054556912e-03      -2.044786900679e-01      -1.936673976792e-02      -5.754080318654e-01      -6.979621038327e-02      -4.468536849981e-03      -2.134158274721e+00       3.538384170666e-02      -1.628778182911e+00       4.101247415901e+03 
       2.280147742849e-03      -2.343988530448e-01      -2.222632530578e-02      -6.108415125651e-01      -7.613443719160e-02      -5.384124845018e-03      -2.348266551799e+00       4.227603661195e-02      -1.867922102187e+00       4.275062921742e+03 
       2.388920162772e-03      -2.674546024006e-01      -2.539087689126e-02      -6.485586380005e-01      -8.275307135662e-02      -6.450253347990e-03      -2.576000895839e+00       5.021238728492e-02      -2.132273360225e+00       4.449132837686e+03 
       2.499223011227e-03      -3.038022194498e-01      -2.887653545454e-02      -6.885823632314e-01      -8.964901593114e-02      -7.678132129390e-03      -2.817470198488e+00       5.929519124521e-02      -2.423109586018e+00       4.623130416902e+03 
       2.610919883542e-03      -3.435919462567e-01      -3.269897357684e-02      -7.309315825457e-01      -9.679634800500e-02      -9.088508261278e-03      -3.072757117204e+00       6.962974220508e-02      -2.741661811939e+00       4.796762974693e+03 
       2.723886368643e-03      -3.869677367523e-01      -3.687336952279e-02      -7.756217465738e-01      -1.041443851198e-01      -1.071239575365e-02      -3.341921539405e+00       8.132404940766e-02      -3.089112349819e+00       4.969769526193e+03 
       2.838009429999e-03      -4.340671844792e-01      -4.141439750249e-02      -8.226653211394e-01      -1.116685466105e-01      -1.257034900611e-02      -3.625003591186e+00       9.448840154793e-02      -3.466594067255e+00       5.141919287598e+03 
       2.953186659667e-03      -4.850213200469e-01      -4.633620584621e-02      -8.720722426943e-01      -1.193797341098e-01      -1.466879928886e-02      -3.922026393271e+00       1.092350525227e-01      -3.875188669542e+00       5.313007711609e+03 
       3.069325469253e-03      -5.399548149289e-01      -5.165243279143e-02      -9.238502416774e-01      -1.272366263971e-01      -1.703576119747e-02      -4.232998224329e+00       1.256778969331e-01      -4.315928165780e+00       5.482856556355e+03 
       3.186342263839e-03      -5.989857663232e-01      -5.737618310894e-02      -9.780052467130e-01      -1.351786614480e-01      -1.970730073050e-02      -4.557914636469e+00       1.439321535574e-01      -4.789793094587e+00       5.651308625400e+03 
       3.304161630640e-03      -6.622258829702e-01      -6.352004245660e-02      -1.034541569632e+00      -1.432180361544e-01      -2.269027434379e-02      -4.896760020227e+00       1.641140607788e-01      -5.297713881925e+00       5.818227288530e+03 
       3.422715563174e-03      -7.297807386301e-01      -7.009609748032e-02      -1.093462184992e+00      -1.513104058078e-01      -2.601483560379e-02      -5.249509068792e+00       1.863406192647e-01      -5.840572740545e+00       5.983495427144e+03 
       3.541942733498e-03      -8.017494601290e-01      -7.711590355828e-02      -1.154768928198e+00      -1.594014212787e-01      -2.971545582584e-02      -5.616128060620e+00       2.107293488786e-01      -6.419201194695e+00       6.147009941939e+03 
       3.661787819128e-03      -8.782250884748e-01      -8.459051527561e-02      -1.218462613909e+00      -1.675003996394e-01      -3.380117673342e-02      -5.996575793084e+00       2.373979875232e-01      -7.034382840934e+00       6.308682394458e+03 
       3.782200887106e-03      -9.592949211509e-01      -9.253051510051e-02      -1.284543220491e+00      -1.755314043828e-01      -3.831584397811e-02      -6.390804526353e+00       2.664643277534e-01      -7.686855965233e+00       6.468438792166e+03 
       3.903136834842e-03      -1.045040040300e+00      -1.009459662459e-01      -1.353009998753e+00      -1.834906960727e-01      -4.327439878087e-02      -6.798760723480e+00       2.980459662872e-01      -8.377309874195e+00       6.626213855485e+03 
       4.024554885575e-03      -1.135536121408e+00      -1.098464848133e-01      -1.423861559620e+00      -1.913265661649e-01      -4.871148504199e-02      -7.220385678332e+00       3.322601087377e-01      -9.106391141666e+00       6.781954399039e+03 
       4.146418135170e-03      -1.230853016442e+00      -1.192411979350e-01      -1.497095947567e+00      -1.990081788097e-01      -5.465357659656e-02      -7.655616058696e+00       3.692234067955e-01      -9.874700385717e+00       6.935614621351e+03 
       4.268693146425e-03      -1.331055230967e+00      -1.291387851643e-01      -1.572710764160e+00      -2.065019158053e-01      -6.112856387673e-02      -8.104384429457e+00       4.090517310801e-01      -1.068279595937e+01       7.087157131346e+03 
       4.391349586775e-03      -1.436201706755e+00      -1.395474552555e-01      -1.650703153253e+00      -2.137642527268e-01      -6.816857449007e-02      -8.566619564007e+00       4.518600834687e-01      -1.153119229610e+01       7.236550359020e+03 
       4.514359905341e-03      -1.546346885489e+00      -1.504750422926e-01      -1.731069943880e+00      -2.207652486203e-01      -7.580051830493e-02      -9.042246904230e+00       4.977623796265e-01      -1.242036811153e+01       7.383772034238e+03 
       4.637699045358e-03      -1.661539992927e+00      -1.619289361801e-01      -1.813807597881e+00      -2.274613714674e-01      -8.405700150471e-02      -9.531188785944e+00       5.468713408403e-01      -1.335076091896e+01       7.528804259048e+03 
       4.761344188283e-03      -1.781824747700e+00      -1.739160527298e-01      -1.898912324329e+00      -2.338165413673e-01      -9.296785320338e-02      -1.003336474347e+01       5.992983630814e-01      -1.432276483012e+01       7.671631131141e+03 
       4.885274526161e-03      -1.907240469371e+00      -1.864429340828e-01      -1.986380085224e+00      -2.397952203775e-01      -1.025628756951e-01      -1.054869173793e+01       6.551533786668e-01      -1.533673911373e+01       7.812242837070e+03 
       5.009471059116e-03      -2.037822170437e+00      -1.995157546086e-01      -2.076206623388e+00      -2.453497035475e-01      -1.128769618989e-01      -1.107708436274e+01       7.145447640341e-01      -1.639300892150e+01       7.950634460168e+03 
       5.133916415147e-03      -2.173600245322e+00      -2.131402893196e-01      -2.168387476697e+00      -2.504555506248e-01      -1.239358033365e-01      -1.161845507364e+01       7.775792475156e-01      -1.749186295936e+01       8.086803938723e+03 
       5.258594689683e-03      -2.314601043831e+00      -2.273219647111e-01      -2.262918019071e+00      -2.550545778266e-01      -1.357788270470e-01      -1.217271425183e+01       8.443617544907e-01      -1.863355789557e+01       8.220752886107e+03 
       5.383491302649e-03      -2.460846272388e+00      -2.420658005532e-01      -2.359793495769e+00      -2.591270870690e-01      -1.484301121585e-01      -1.273977047616e+01       9.149954073855e-01      -1.981831384625e+01       8.352483916835e+03 
       5.508592871017e-03      -2.612348323454e+00      -2.573759723511e-01      -2.459008998341e+00      -2.626173155722e-01      -1.619283654852e-01      -1.331953056577e+01       9.895813742409e-01      -2.104627897080e+01       8.481987641865e+03 
       5.633887095065e-03      -2.769147580659e+00      -2.732592842424e-01      -2.560559478290e+00      -2.654937509206e-01      -1.763026520655e-01      -1.391189975548e+01       1.068218792997e+00      -2.231781316731e+01       8.609348494643e+03 
       5.759362656773e-03      -2.931242206157e+00      -2.897186260330e-01      -2.664439810265e+00      -2.677180654756e-01      -1.915848609269e-01      -1.451678177088e+01       1.151004781169e+00      -2.363295402711e+01       8.734539570225e+03 
       5.885009128951e-03      -3.098593832155e+00      -3.067535008673e-01      -2.770644814833e+00      -2.692401335656e-01      -2.078116971418e-01      -1.513407893656e+01       1.238034285559e+00      -2.499146068731e+01       8.857445226146e+03 
       6.010816893888e-03      -3.271209441753e+00      -3.243676504676e-01      -2.879169182761e+00      -2.700336762063e-01      -2.250103458410e-01      -1.576369233944e+01       1.329400112989e+00      -2.639343705164e+01       8.978103153681e+03 
       6.136777070431e-03      -3.449108308334e+00      -3.425659736002e-01      -2.990007506897e+00      -2.700492648069e-01      -2.432173418961e-01      -1.640552181686e+01       1.425192769200e+00      -2.783907869053e+01       9.096585703864e+03 
       6.262881448544e-03      -3.632298792375e+00      -3.613523623548e-01      -3.103154369274e+00      -2.692473681923e-01      -2.624652736589e-01      -1.705946608976e+01       1.525500511792e+00      -2.932849714176e+01       9.212941291890e+03 
       6.389122430502e-03      -3.820778470234e+00      -3.807297123253e-01      -3.218604253436e+00      -2.675959994430e-01      -2.827837143026e-01      -1.772542286803e+01       1.630409339404e+00      -3.086172089531e+01       9.327195186821e+03 
       6.515492978000e-03      -4.014539084526e+00      -4.007003820464e-01      -3.336351633248e+00      -2.650454212941e-01      -3.042093708865e-01      -1.840328885104e+01       1.740002819796e+00      -3.243873308298e+01       9.439364227187e+03 
       6.641986564499e-03      -4.213517363392e+00      -4.212616090296e-01      -3.456390927356e+00      -2.615601288746e-01      -3.267732176423e-01      -1.909295981708e+01       1.854362108627e+00      -3.405910291517e+01       9.549367320164e+03 
       6.768597132253e-03      -4.417722328684e+00      -4.424173680161e-01      -3.578716512277e+00      -2.571052050009e-01      -3.505059749335e-01      -1.979433076162e+01       1.973566050226e+00      -3.572294214028e+01       9.657273690698e+03 
       6.895319053508e-03      -4.627298304999e+00      -4.641842393614e-01      -3.703322686535e+00      -2.516332521586e-01      -3.754433483533e-01      -2.050729588713e+01       2.097691065437e+00      -3.743137813528e+01       9.763423831503e+03 
       7.022147095415e-03      -4.842107055065e+00      -4.865524801402e-01      -3.830203826077e+00      -2.451080075957e-01      -4.016164961084e-01      -2.123174863663e+01       2.226810960908e+00      -3.918341378933e+01       9.867602841344e+03 
       7.149076388277e-03      -5.061984341369e+00      -5.095099233886e-01      -3.959354273832e+00      -2.374941945067e-01      -4.290561195744e-01      -2.196758176943e+01       2.360997238787e+00      -4.097785643669e+01       9.969553148098e+03 
       7.276102396759e-03      -5.286979528629e+00      -5.330642962416e-01      -4.090768297582e+00      -2.287477471367e-01      -4.577963849950e-01      -2.271468749034e+01       2.500318873557e+00      -4.281511913744e+01       1.006945408130e+04 
