# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       3.496678873628e-04      -1.264297648019e-03      -6.956313313684e-04       4.252623776779e-07      -1.320052925952e-05       7.748770113855e-05      -7.645614099350e-05      -4.975626748199e-07      -4.542963552704e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.079642178706e+02 
       3.741067060224e-04      -1.543901683758e-03      -8.494738392257e-04       5.556306300049e-07      -1.612174017220e-05      -3.611314448193e-05       2.328923508491e-05       2.624443856888e-07       2.191780661392e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.151916307297e+02 
       4.000254369668e-04      -1.882033094681e-03      -1.035521859757e-03       7.184486219940e-07      -1.965518245955e-05       1.013285817977e-05      -1.841778907983e-05      -4.155843851471e-08      -4.155843851471e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.228292663330e+02 
       4.275731119149e-04      -2.291438366244e-03      -1.260779413087e-03       9.467353869858e-07      -2.393404651158e-05       2.952584733051e-05      -3.616039585722e-05      -1.827432707291e-07      -1.502935310669e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.309167917051e+02 
       4.569104556571e-04      -2.787733224043e-03      -1.533857635392e-03       1.229105051414e-06      -2.912227643781e-05      -3.499448240410e-05       1.948919978236e-05       2.840775454636e-07       2.408112259140e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.394964406992e+02 
       4.882096147796e-04      -3.390201352841e-03      -1.865354497788e-03       1.598007354942e-06      -3.542165502312e-05       5.211143542905e-05      -5.793132470215e-05      -3.347446828308e-07      -2.584593299408e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.486127916723e+02 
       5.216533592001e-04      -4.122503736496e-03      -2.268288608110e-03       2.087030624588e-06      -4.308031678048e-05      -2.719857477368e-05       1.016132286369e-05       2.408112259140e-07       2.191780661392e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.583123762144e+02 
       5.574336111076e-04      -5.013665243901e-03      -2.758654272250e-03       2.716669432770e-06      -5.240284140188e-05       2.961294926328e-05      -4.101419375827e-05      -1.502935310669e-07      -8.482475806427e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.686430801170e+02 
       5.957491561832e-04      -6.099213216344e-03      -3.355986802776e-03       3.552392552490e-06      -6.376202310241e-05       8.873011269730e-06      -2.454168117713e-05       1.252446092224e-08       6.717665403748e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.796533037256e+02 
       6.368024128256e-04      -7.422430482890e-03      -4.084108862951e-03       4.627788310768e-06      -7.761230527765e-05       1.391923043404e-06      -2.066536052170e-05       6.717665403748e-08       1.428927132492e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.913908525586e+02 
