# Quadrupole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib1b2 (Mpc/h)^3        7:Ib2 (Mpc/h)^3          8:Ib1bG2 (Mpc/h)^3       9:IbG2 (Mpc/h)^3        10:IFG2 (Mpc/h)^3        11:Ib2b2 (Mpc/h)^3       12:Ib2bG2 (Mpc/h)^3      13:IbG2bG2 (Mpc/h)^3     14:Ptree_vv (Mpc/h)^3    15:Ptree_vd (Mpc/h)^3 
       2.839115330950e-04      -1.435447822283e-03      -2.663447874668e-03       6.345975365857e-01      -2.657821007561e-05       4.991539645095e-03      -1.008644480477e-02      -1.130161810129e-04      -1.169363372815e-04      -2.276490422133e-03       1.289108605106e-05       7.907318403257e-05       1.212595534744e-07       2.231159069649e+02       6.557534141467e+02 
       3.046913073430e-04      -1.769203072701e-03      -3.282833703704e-03       6.787380891259e-01      -3.276125137430e-05       5.870365127786e-03      -1.141099820358e-02      -2.355207797617e-04      -3.128217525738e-04      -2.802363502281e-03       1.483465466872e-05       9.106080101619e-05       1.428927132492e-07       2.387873078396e+02       7.018127543003e+02 
       3.265715193731e-04      -2.172158816183e-03      -4.030696022174e-03       7.249685085117e-01      -4.022756728312e-05       6.195531444479e-03      -1.401942839859e-02       2.153529819148e-04       4.480272932851e-04      -3.437092365240e-03       1.707140953069e-05       1.045900652806e-04       1.645258730240e-07       2.552337226578e+02       7.501499114777e+02 
       3.496678873628e-04      -2.658767711339e-03      -4.933833760689e-03       7.734941048154e-01      -4.924515446486e-05       7.732648855473e-03      -1.501834809059e-02      -3.085981627746e-04      -4.131648870144e-04      -4.203392398069e-03       1.955808431744e-05       1.199006494644e-04       2.083614862518e-07       2.725353953316e+02       8.010007274042e+02 
       3.741067060224e-04      -3.246718282047e-03      -6.025126475640e-03       8.245338921464e-01      -6.014273477717e-05       8.391211198274e-03      -1.795412670497e-02       5.465959393305e-05       2.058953060375e-04      -5.129104908103e-03       2.241366140771e-05       1.372305183250e-04       2.408112259140e-07       2.907790454534e+02       8.546200762807e+02 
       4.000254369668e-04      -3.957759823993e-03      -7.344955875506e-03       8.783202527686e-01      -7.332419821293e-05       9.781457671795e-03      -2.021113532814e-02      -1.028201312348e-04      -3.960234543613e-05      -6.248444445407e-03       2.562789351530e-05       1.568842439804e-04       2.948941253510e-07       3.100580721648e+02       9.112824636403e+02 
       4.275731119149e-04      -4.818637184889e-03      -8.942988848664e-03       9.350979231877e-01      -8.928638572248e-05       1.124166464544e-02      -2.297422212097e-02      -1.753219583390e-04      -1.397820925911e-04      -7.603498322324e-03       2.929812985919e-05       1.792199121542e-04       3.711794782410e-07       3.304725764404e+02       9.712820920891e+02 
       4.569104556571e-04      -5.862239029822e-03      -1.088035785817e-02       9.951220562760e-01      -1.086408537769e-04       1.257922640480e-02      -2.665977417269e-02       2.563472503944e-05       2.204566997406e-04      -9.246051199711e-03       3.346763675894e-05       2.046286276033e-04       4.577121173401e-07       3.521291327718e+02       1.034932190073e+03 
       4.882096147796e-04      -7.129036446382e-03      -1.323223642635e-02       1.058655326983e+00      -1.321403002957e-04       1.470347972725e-02      -2.986035746434e-02      -2.718531023098e-04      -2.435563600307e-04      -1.123978654560e-02       3.822351614732e-05       2.335988443038e-04       5.772637897797e-07       3.751402268255e+02       1.102563359097e+03 
       5.216533592001e-04      -8.668813597441e-03      -1.609108353951e-02       1.125963463950e+00      -1.607103164071e-04       1.646099007709e-02      -3.462779863803e-02      -2.784301521750e-05       2.025290725178e-04      -1.366305909539e-02       4.364205337723e-05       2.666628518449e-04       7.184486219940e-07       3.996232668438e+02       1.174520668142e+03 
       5.574336111076e-04      -1.054257428568e-02      -1.957031502282e-02       1.197309544047e+00      -1.954870317351e-04       1.902103543309e-02      -3.915759272008e-02      -2.325348344191e-04      -8.861739254900e-05      -1.661195480540e-02       4.985304740730e-05       3.044611056145e-04       9.028997737579e-07       4.256990704821e+02       1.251159206377e+03 
       5.957491561832e-04      -1.282501325746e-02      -2.380872353645e-02       1.272946341070e+00      -2.378610087067e-04       2.163013853323e-02      -4.487491747480e-02      -1.881020321227e-04       4.857839886163e-05      -2.020407039359e-02       5.695441675021e-05       3.476989604802e-04       1.152819698524e-06       4.534897442336e+02       1.332837850467e+03 
       6.368024128256e-04      -1.560709111810e-02      -2.897537507052e-02       1.353106769000e+00      -2.895273457104e-04       2.467640224892e-02      -5.132307868195e-02      -1.937704892774e-04       1.194947430717e-04      -2.458266121327e-02       6.508734623817e-05       3.972030308627e-04       1.456822522728e-06       4.831158823258e+02       1.419911032054e+03 
       6.807951847174e-04      -1.899903223242e-02      -3.527521022556e-02       1.437992739798e+00      -3.525413800531e-04       2.833751224586e-02      -5.842145297082e-02      -3.486115382464e-04      -3.576929110024e-05      -2.992135329691e-02       7.441465386317e-05       4.538944339335e-04       1.858743859596e-06       5.146930746686e+02       1.512718474224e+03 
       7.279234067888e-04      -2.313349341334e-02      -4.295486751758e-02       1.527762136248e+00      -4.293785895269e-04       3.221611633824e-02      -6.707347012758e-02      -2.644585467225e-04       2.358646331434e-04      -3.642917078861e-02       8.508834103732e-05       5.187950518452e-04       2.379647575226e-06       5.483277696395e+02       1.611573032035e+03 
       7.783710154798e-04      -2.816882255887e-02      -5.230884939787e-02       1.622515256510e+00      -5.229963297920e-04       3.699953075396e-02      -7.639877497742e-02      -4.665663419184e-04       6.777612028071e-05      -4.435562941463e-02       9.730424478593e-05       5.930668129951e-04       3.053121996635e-06       5.841126417003e+02       1.716747077564e+03 
       8.323032229236e-04      -3.429221937067e-02      -6.368535182031e-02       1.722280540788e+00      -6.368940401074e-04       4.220138513191e-02      -8.749842020611e-02      -4.812683511601e-04       2.595250477065e-04      -5.399578497971e-02       1.112570635470e-04       6.779251593864e-04       3.921864149696e-06       6.221217237792e+02       1.828458193579e+03 
       8.898596308005e-04      -4.172253514030e-02      -7.749157632062e-02       1.827001014172e+00      -7.751676300900e-04       4.827191220910e-02      -9.993285814971e-02      -6.242305182381e-04       2.985501293529e-04      -6.569466304123e-02       1.271972865389e-04       7.747062232820e-04       5.039956933846e-06       6.624056466492e+02       1.946855181921e+03 
       9.511477507798e-04      -5.071253170657e-02      -9.419793197305e-02       1.936524562528e+00      -9.425531680619e-04       5.518907007289e-02      -1.140678321011e-01      -8.067711204177e-04       3.491068237466e-04      -7.985085570662e-02       1.453201814934e-04       8.848104671305e-04       6.473438415764e-06       7.049874435639e+02       2.072005732989e+03 
       1.016237566123e-03      -6.155023979024e-02      -1.143405955040e-01       2.050591148445e+00      -1.144454966781e-03       6.292850377042e-02      -1.302853631674e-01      -9.420779954037e-04       5.760369619030e-04      -9.691863428224e-02       1.658967322013e-04       1.009693574867e-03       8.298024654663e-06       7.498593510936e+02       2.203887023142e+03 
       1.085157739717e-03      -7.455925104170e-02      -1.385221221443e-01       2.168842867804e+00      -1.386953938067e-03       7.185331734911e-02      -1.483281391454e-01      -1.261684590035e-03       6.183087253966e-04      -1.174085293836e-01       1.891666113011e-04       1.150831155706e-03       1.062131215574e-05       7.969810401168e+02       2.342380515937e+03 
       1.157893933083e-03      -9.009776219685e-02      -1.674097616582e-01       2.290794382374e+00      -1.676793375202e-03       8.173878668381e-02      -1.689186472264e-01      -1.514261977692e-03       9.239733178470e-04      -1.418857761943e-01       2.153677835505e-04       1.309689710163e-03       1.356399117879e-05       8.462794679101e+02       2.487271526443e+03 
       1.234389463579e-03      -1.085564590125e-01      -2.017315268015e-01       2.415924901158e+00      -2.021342608205e-03       9.296960229962e-02      -1.917566402166e-01      -1.954212701563e-03       1.104016428660e-03      -1.709670353347e-01       2.447399215878e-04       1.487724352879e-03       1.725586068246e-05       8.976508536753e+02       2.638255030539e+03 
       1.314548237718e-03      -1.303550635003e-01      -2.422698536670e-01       2.543403830373e+00      -2.428536344206e-03       1.054223481586e-01      -2.173755377532e-01      -2.422655435445e-03       1.463484397351e-03      -2.053149515523e-01       2.775323760443e-04       1.686292279983e-03       2.185973865874e-05       9.509630306615e+02       2.794942567351e+03 
       1.398239619509e-03      -1.559376509168e-01      -2.898528903528e-01       2.672549316165e+00      -2.906790433122e-03       1.193150608931e-01      -2.457210269421e-01      -3.047959072267e-03       1.834950799606e-03      -2.456307409497e-01       3.139512312315e-04       1.906706851992e-03       2.756064555307e-05       1.006057428107e+03       2.956868081346e+03 
       1.485304683764e-03      -1.857688542826e-01      -3.453476170480e-01       2.802874726865e+00      -3.464935308805e-03       1.346695666535e-01      -2.770427527392e-01      -3.804334608402e-03       2.313839503191e-03      -2.926482800075e-01       3.542145266281e-04       2.150131135889e-03       3.456409638332e-05       1.062763113606e+03       3.123529194288e+03 
       1.575563203249e-03      -2.203286029701e-01      -4.096498737155e-01       2.933536363551e+00      -4.112119378624e-03       1.515715264901e-01      -3.114580511259e-01      -4.727061173094e-03       2.899987690114e-03      -3.471256390491e-01       3.984947582187e-04       2.417660452712e-03       4.309894720815e-05       1.120899587796e+03       3.294395397659e+03 
       1.668820731233e-03      -2.601061126702e-01      -4.836733841097e-01       3.063679353201e+00      -4.857700844122e-03       1.701080041932e-01      -3.490544299415e-01      -5.860179894587e-03       3.584784224197e-03      -4.098357196368e-01       4.469558825826e-04       2.710229582681e-03       5.341454865865e-05       1.180277927077e+03       3.468911423810e+03 
       1.764875244855e-03      -3.055953543840e-01      -5.683412647616e-01       3.192585302415e+00      -5.711164642415e-03       1.903126495734e-01      -3.899805625071e-01      -7.213323221920e-03       4.422804443910e-03      -4.815589938003e-01       4.997499011319e-04       3.028652615755e-03       6.577106794579e-05       1.240708645233e+03       3.646520356910e+03 
       1.863522970598e-03      -3.572906890785e-01      -6.645778476438e-01       3.319544134604e+00      -6.682042187977e-03       2.122662596360e-01      -4.342793507944e-01      -8.842139612144e-03       5.397683433175e-03      -5.630764966006e-01       5.570168601115e-04       3.373635476097e-03       8.046282990126e-05       1.302006497100e+03       3.826677745741e+03 
       1.964563180755e-03      -4.156828518896e-01      -7.733012656906e-01       3.443885309485e+00      -7.779838286319e-03       2.360067965914e-01      -4.820393228169e-01      -1.077571940293e-02       6.542627522954e-03      -6.551635639000e-01       6.188558166214e-04       3.745753150319e-03       9.781433192167e-05       1.363993576584e+03       4.008860709651e+03 
       2.067801897985e-03      -4.812556712820e-01      -8.954172827920e-01       3.564988951070e+00      -9.013970191584e-03       2.615691040592e-01      -5.333302546234e-01      -1.304771240500e-02       7.888289192767e-03      -7.585845088961e-01       6.853527340070e-04       4.145484414407e-03       1.181198988387e-04       1.426501941367e+03       4.192575653109e+03 
       2.173054556912e-03      -5.544833017132e-01      -1.031814135994e+00       3.682284318533e+00      -1.039371617157e-02       2.890249136122e-01      -5.881388122175e-01      -1.572844915938e-02       9.408836741961e-03      -8.740881839094e-01       7.565947142011e-04       4.573197032076e-03       1.417478636622e-04       1.489375124903e+03       4.377362709078e+03 
       2.280147742849e-03      -6.358280386838e-01      -1.183358391040e+00       3.795259447779e+00      -1.192817503964e-02       3.183528010212e-01      -6.465874233432e-01      -1.881906882273e-02       1.119797761786e-02      -1.002404548111e+00       8.326580425566e-04       5.029185328159e-03       1.690238623761e-04       1.552469111322e+03       4.562798604779e+03 
       2.388920162772e-03      -7.257386717714e-01      -1.350891875585e+00       3.903452572180e+00      -1.362623461014e-02       3.496532608529e-01      -7.085781774581e-01      -2.242457305964e-02       1.318019216758e-02      -1.144241929788e+00       9.135745995194e-04       5.513644570386e-03       2.003071192915e-04       1.615652665529e+03       4.748497631365e+03 
       2.499223011227e-03      -8.246491558989e-01      -1.535229152673e+00       4.006457575844e+00      -1.549654673209e-02       3.828842934663e-01      -7.742354800324e-01      -2.654003178687e-02       1.546653990975e-02      -1.300284932485e+00       9.993996065764e-04       6.026715374296e-03       2.359876005779e-04       1.678807131843e+03       4.934111052324e+03 
       2.610919883542e-03      -9.329776913558e-01      -1.737155771294e+00       4.103933155255e+00      -1.754750917771e-02       4.181171300248e-01      -8.434819321748e-01      -3.125606972647e-02       1.801196978915e-02      -1.471192892215e+00       1.090164944174e-03       6.568474594535e-03       2.764245305464e-04       1.741826179542e+03       5.119326356107e+03 
       2.723886368643e-03      -1.051126222820e+00      -1.957427201239e+00       4.195569389213e+00      -1.978725496636e-02       4.553621185796e-01      -9.163301278001e-01      -3.661819393791e-02       2.084923042462e-02      -1.657599042875e+00       1.185903631344e-03       7.138943294971e-03       3.219976280804e-04       1.804615178003e+03       5.303865418273e+03 
       2.838009429999e-03      -1.179480027189e+00      -2.196768160760e+00       4.281097313779e+00      -2.222364435595e-02       4.946143614974e-01      -9.928082025404e-01      -4.266301968270e-02       2.402822666928e-02      -1.860109905965e+00       1.286626484668e-03       7.738088456569e-03       3.731076759293e-04       1.867090202753e+03       5.487481580744e+03 
       2.953186659667e-03      -1.318407605415e+00      -2.455872259627e+00       4.360299639806e+00      -2.486426047385e-02       5.359315720632e-01      -1.072831372627e+00      -4.948054090550e-02       2.751183431309e-02      -2.079304997970e+00       1.392343751432e-03       8.365857135018e-03       4.301252842778e-04       1.929177115270e+03       5.669956947742e+03 
       3.069325469253e-03      -1.468260311892e+00      -2.735401279539e+00       4.432978678923e+00      -2.771640244849e-02       5.793026530354e-01      -1.156422115482e+00      -5.710806740610e-02       3.135236859862e-02      -2.315736202429e+00       1.503078203382e-03       9.022128640057e-03       4.934301720093e-04       1.990811093463e+03       5.851101004786e+03 
       3.186342263839e-03      -1.629372562821e+00      -3.035985556119e+00       4.498972020754e+00      -3.078708738012e-02       6.247387449221e-01      -1.243559429861e+00      -6.560310524683e-02       3.556982084266e-02      -2.569928180966e+00       1.618828701932e-03       9.706784558602e-03       5.634345077468e-04       2.051935294211e+03       6.030746688379e+03 
       3.304161630640e-03      -1.802062453322e+00      -3.358225107255e+00       4.558152197597e+00      -3.408305988089e-02       6.722788728048e-01      -1.334170282218e+00      -7.504757009506e-02       4.014450316194e-02      -2.842379284726e+00       1.739595816375e-03       1.041966093407e-02       6.405071937939e-04       2.112500068381e+03       6.208748079025e+03 
       3.422715563174e-03      -1.986631041833e+00      -3.702688093164e+00       4.610412633692e+00      -3.761077848304e-02       7.219170647928e-01      -1.428251707671e+00      -8.548904408571e-02       4.511470397209e-02      -3.133560340646e+00       1.865369299424e-03       1.116056363733e-02       7.250290876213e-04       2.172462708298e+03       6.384979658548e+03 
       3.541942733498e-03      -2.183363391914e+00      -4.069912940988e+00       4.655658675993e+00      -4.137643304325e-02       7.736596411847e-01      -1.525776092629e+00      -9.698645594601e-02       5.050022843089e-02      -3.443916364456e+00       1.996158829073e-03       1.192929569275e-02       8.173907246924e-04       2.231786205340e+03       6.559332658447e+03 
       3.661787819128e-03      -2.392528735072e+00      -4.460408478017e+00       4.693808082058e+00      -4.538594553311e-02       8.275366572708e-01      -1.626672478052e+00      -1.096191908329e-01       5.628715503072e-02      -3.773866866958e+00       2.131954158035e-03       1.272562995216e-02       9.179507600244e-04       2.290438498182e+03       6.731712850307e+03 
       3.782200887106e-03      -2.614379450580e+00      -4.874652008610e+00       4.724821837623e+00      -4.964495252499e-02       8.835529788041e-01      -1.730908570186e+00      -1.234475460557e-01       6.249322808624e-02      -4.123804092636e+00       2.272744469730e-03       1.354932788152e-02       1.027088343207e-03       2.348392266248e+03       6.902039940169e+03 
       3.903136834842e-03      -2.849154464732e+00      -5.313095624248e+00       4.748676629543e+00      -5.415886189527e-02       9.417070738155e-01      -1.838459904775e+00      -1.385276158283e-01       6.914312761699e-02      -4.494098539524e+00       2.418518378285e-03       1.440012817501e-02       1.145151881972e-03       2.405624367637e+03       7.070245915439e+03 
       4.024554885575e-03      -3.097075644368e+00      -5.776159446587e+00       4.765322670807e+00      -5.893279103913e-02       1.002018303414e+00      -1.949264522741e+00      -1.549331618248e-01       7.623155520671e-02      -4.885093145010e+00       2.569265636414e-03       1.527775984886e-02       1.272521095201e-03       2.462115293889e+03       7.236273440992e+03 
       4.146418135170e-03      -3.358352020464e+00      -6.264239513313e+00       4.774738375508e+00      -6.397163731372e-02       1.064502835539e+00      -2.063263550577e+00      -1.727360340309e-01       8.375592626210e-02      -5.297110108251e+00       2.724975427536e-03       1.618193996410e-02       1.409522188174e-03       2.517848636631e+03       7.400074293580e+03 
       4.268693146425e-03      -3.633176044457e+00      -6.777700666527e+00       4.776964321760e+00      -6.928001239796e-02       1.129161192234e+00      -2.180422012020e+00      -1.919961164488e-01       9.173270247917e-02      -5.730444853386e+00       2.885636365778e-03       1.711238672036e-02       1.556501291446e-03       2.572810554196e+03       7.561607795576e+03 
       4.391349586775e-03      -3.921728429514e+00      -7.316885647781e+00       4.772030326320e+00      -7.486232647988e-02       1.195998422564e+00      -2.300695593817e+00      -2.127773760547e-01       1.001707659779e-01      -6.185373779327e+00       3.051227387274e-03       1.806878472895e-02       1.713785748882e-03       2.626990060424e+03       7.720841661103e+03 
