# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.028185622909e-05       1.519066943178e+01      -1.662153348367e-09      -3.513344121936e-07       2.657875619546e-01      -3.025578966397e-02      -5.620907860020e-01       3.383781978518e-01      -2.034055176898e-07 
       2.292362608534e-05       3.386761478033e+01      -1.837765326192e-08      -4.921338600844e-01      -3.170412909101e-01      -2.620889866060e-01      -6.963229816328e-01       4.474889081041e-01      -1.434944499059e-06 
       3.560828760542e-05       5.260718387342e+01      -6.879074229113e-08      -8.704112583433e-01      -3.198358188371e-01      -2.635529395384e-01      -6.967359843959e-01       4.478883079243e-01      -4.895591876637e-06 
       4.836871162854e-05       7.145751662887e+01      -1.722554739093e-07      -1.133635996442e+00      -3.222030743994e-01      -2.647485402890e-01      -6.968710739321e-01       4.481663487943e-01      -1.187180804878e-05 
       6.123829341056e-05       9.046749477568e+01      -3.493308467242e-07      -1.336500498807e+00      -3.207891682242e-01      -2.642160325098e-01      -6.968102817614e-01       4.483743021450e-01      -2.372903124846e-05 
       7.425123948468e-05       1.096871648489e+02      -6.223263255540e-07      -1.502243473667e+00      -3.217148707668e-01      -2.647093723962e-01      -6.965960037093e-01       4.485488608662e-01      -4.194907183096e-05 
       8.744286337900e-05       1.291681563272e+02      -1.015904036683e-06      -1.642948140572e+00      -3.211397750154e-01      -2.645183823406e-01      -6.962377483922e-01       4.486949204705e-01      -6.817020835913e-05 
       1.008498939898e-04       1.489641256408e+02      -1.557761530729e-06      -1.765704481603e+00      -3.211092362158e-01      -2.645594412483e-01      -6.957435140812e-01       4.488239142340e-01      -1.042325358602e-04 
       1.145108004402e-04       1.691312171686e+02      -2.279421735806e-06      -1.875034889504e+00      -3.212994160696e-01      -2.646880715816e-01      -6.951128803675e-01       4.489398002600e-01      -1.522304291092e-04 
       1.284661372837e-04       1.897285538861e+02      -3.217161483500e-06      -1.974003519693e+00      -3.215765664793e-01      -2.648448950015e-01      -6.943418230707e-01       4.490454190648e-01      -2.145742192700e-04 
       1.427589139274e-04       2.108187610173e+02      -4.413116391088e-06      -2.064785727928e+00      -3.216811954276e-01      -2.649202200939e-01      -6.934231937491e-01       4.491426961493e-01      -2.940635946680e-04 
       1.574349921059e-04       2.324685263675e+02      -5.916608305037e-06      -2.148984473715e+00      -3.214662493190e-01      -2.648561862881e-01      -6.923474849237e-01       4.492333422301e-01      -3.939757942073e-04 
       1.725435151069e-04       2.547491977295e+02      -7.785751717212e-06      -2.227814191154e+00      -3.215537836801e-01      -2.649156644066e-01      -6.911032836943e-01       4.493193021329e-01      -5.181723401629e-04 
       1.881373721651e-04       2.777374320694e+02      -1.008941031429e-05      -2.302221875326e+00      -3.218185588828e-01      -2.650429869723e-01      -6.896754011554e-01       4.494012846132e-01      -6.712290348139e-04 
       2.042737009284e-04       3.015158878352e+02      -1.290959052237e-05      -2.372961166007e+00      -3.216835611335e-01      -2.649996074306e-01      -6.880455574209e-01       4.494797660288e-01      -8.585949902578e-04 
       2.210144300569e-04       3.261739669293e+02      -1.634438125935e-05      -2.440640843384e+00      -3.219046940350e-01      -2.650994843968e-01      -6.861931382795e-01       4.495559289242e-01      -1.086787942049e-03 
       2.384268627075e-04       3.518086035207e+02      -2.051157630679e-05      -2.505763367187e+00      -3.219417664059e-01      -2.651180833720e-01      -6.840927578436e-01       4.496299635819e-01      -1.363634903892e-03 
       2.565842997080e-04       3.785250977962e+02      -2.555314839090e-05      -2.568747542166e+00      -3.220485336023e-01      -2.651608870840e-01      -6.817153714869e-01       4.497025343582e-01      -1.698569387263e-03 
       2.755666984251e-04       4.064379799630e+02      -3.164078530325e-05      -2.629947370774e+00      -3.221887797754e-01      -2.652118758392e-01      -6.790266923667e-01       4.497739847646e-01      -2.102999144238e-03 
       2.954613594086e-04       4.356718930254e+02      -3.898274883087e-05      -2.689664663823e+00      -3.222775308880e-01      -2.652363745182e-01      -6.759867740080e-01       4.498446703917e-01      -2.590761734735e-03 
       3.163636275512e-04       4.663624669855e+02      -4.783237696613e-05      -2.748158653179e+00      -3.224587506068e-01      -2.652924084093e-01      -6.725490406971e-01       4.499149149396e-01      -3.178689172937e-03 
       3.383775873987e-04       4.986571500696e+02      -5.849862101574e-05      -2.805653177899e+00      -3.225796253778e-01      -2.653171526665e-01      -6.686591213230e-01       4.499849472529e-01      -3.887307615452e-03 
