# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.316333573999e-02       2.652901494850e+04 
       1.328988413979e-02       2.658906270359e+04 
       1.341646860691e-02       2.664549267163e+04 
       1.354308922342e-02       2.670041787397e+04 
       1.366974609479e-02       2.675136362143e+04 
       1.379643934941e-02       2.680220031809e+04 
       1.392316913825e-02       2.684976517578e+04 
       1.404993563452e-02       2.689487264363e+04 
       1.417673903336e-02       2.693662225715e+04 
       1.430357955158e-02       2.697824713218e+04 
       1.443045742743e-02       2.701607412816e+04 
       1.455737292036e-02       2.705240547353e+04 
       1.468432631085e-02       2.708690052637e+04 
       1.481131790029e-02       2.711748569651e+04 
       1.493834801080e-02       2.714769802099e+04 
       1.506541698514e-02       2.717653496598e+04 
       1.519252518666e-02       2.720107394943e+04 
       1.531967299921e-02       2.722587288466e+04 
       1.544686082709e-02       2.724640708868e+04 
       1.557408909511e-02       2.726577965040e+04 
       1.570135824851e-02       2.728352396639e+04 
       1.582866875303e-02       2.729930216747e+04 
       1.595602109498e-02       2.731458550471e+04 
       1.608341578125e-02       2.732590739187e+04 
       1.621085333945e-02       2.733560470632e+04 
       1.633833431798e-02       2.734484640958e+04 
       1.646585928616e-02       2.735048386751e+04 
       1.659342883438e-02       2.735641031513e+04 
       1.672104357425e-02       2.735797675120e+04 
       1.684870413879e-02       2.735913949535e+04 
       1.697641118259e-02       2.735892158870e+04 
       1.710416538205e-02       2.735627675880e+04 
       1.723196743558e-02       2.735240497967e+04 
       1.735981806386e-02       2.734794073250e+04 
       1.748771801012e-02       2.733951980172e+04 
       1.761566804035e-02       2.733179769811e+04 
       1.774366894367e-02       2.732122633948e+04 
       1.787172153257e-02       2.730935906176e+04 
       1.799982664330e-02       2.729511439701e+04 
       1.812798513615e-02       2.727954826737e+04 
       1.825619789584e-02       2.726299846622e+04 
       1.838446583190e-02       2.724490745845e+04 
       1.851278987906e-02       2.722540481238e+04 
       1.864117099765e-02       2.720463225358e+04 
       1.876961017400e-02       2.718194419816e+04 
