# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.028185622909e-05       4.062494335126e+01      -4.294729576966e-09      -3.430001161178e-07       3.818119624865e+00      -1.895376824480e+00      -8.594428463886e-01       6.984799770203e-01      -1.396857333490e-06 
       2.292362608534e-05       9.057326405032e+01      -4.759558356316e-08      -1.264845151748e+00       2.215857151687e-02      -1.428548604574e-02      -1.088942586697e-03       9.241803867518e-05      -1.001474291458e-05 
       3.560828760542e-05       1.406888322132e+02      -1.783864305685e-07      -1.265102253309e+00       9.049000352603e-03      -5.686440798047e-03      -2.525973428358e-03       3.156167341023e-05      -3.431726004368e-05 
       4.836871162854e-05       1.911002672811e+02      -4.470852649310e-07      -1.265478341635e+00      -5.846059030994e-03      -3.212265988948e-03      -4.621733726742e-03       1.062498519352e-05      -8.336499969681e-05 
       6.123829341056e-05       2.419381692805e+02      -9.072993212604e-07      -1.265934204984e+00       3.011231212759e-03      -2.124855779796e-03      -7.423557763889e-03       1.211300055385e-05      -1.667804912661e-04 
       7.425123948468e-05       2.933362332191e+02      -1.617235184277e-06      -1.266524378981e+00      -3.713509306171e-03      -1.532665968444e-03      -1.090197991878e-02       1.017701581484e-06      -2.950095080220e-04 
       8.744286337900e-05       3.454323824336e+02      -2.641264321833e-06      -1.267235734963e+00      -3.421759843130e-04      -1.169428664809e-03      -1.512421942947e-02       8.655770618302e-06      -4.796029949266e-04 
       1.008498939898e-04       3.983699361331e+02      -4.051702497306e-06      -1.268077435337e+00       1.335075839625e-04      -9.205339324980e-04      -2.011637500192e-02       1.128198614730e-05      -7.335364412753e-04 
       1.145108004402e-04       4.522988521950e+02      -5.930871533797e-06      -1.269059567006e+00      -8.968374737149e-04      -7.389826845620e-04      -2.593176386643e-02       1.164794827420e-05      -1.071579667492e-03 
       1.284661372837e-04       5.073770286844e+02      -8.373524529779e-06      -1.270192533023e+00      -2.315606916040e-03      -5.998467708971e-04      -3.263404103086e-02       1.232918886274e-05      -1.510731687705e-03 
       1.427589139274e-04       5.637717046899e+02      -1.148973329168e-05      -1.271486346823e+00      -2.328292581353e-03      -4.948535425662e-04      -4.029853849865e-02       1.557957929425e-05      -2.070738378369e-03 
       1.574349921059e-04       6.216609445207e+02      -1.540835812255e-05      -1.272955324633e+00      -9.310131363513e-04      -4.240935514853e-04      -4.901002500089e-02       2.031123663684e-05      -2.774714482017e-03 
       1.725435151069e-04       6.812352370911e+02      -2.028124832587e-05      -1.274620691016e+00      -1.945433543544e-03      -3.589223472116e-04      -5.886471015716e-02       2.307103402782e-05      -3.649896511574e-03 
       1.881373721651e-04       7.426992213910e+02      -2.628835834282e-05      -1.276499528164e+00      -3.157032286705e-03      -2.951902402052e-04      -6.998246783365e-02       2.703650044077e-05      -4.728559676621e-03 
       2.042737009284e-04       8.062735283186e+02      -3.364400812902e-05      -1.278613097063e+00      -2.290777841620e-03      -2.702673592932e-04      -8.250027623363e-02       3.334010658861e-05      -6.049139751971e-03 
       2.210144300569e-04       8.721967612627e+02      -4.260457276344e-05      -1.280991941202e+00      -3.878535700528e-03      -2.198593180672e-04      -9.657274292639e-02       3.944141618694e-05      -7.657610870513e-03 
       2.384268627075e-04       9.407275887273e+02      -5.347795787508e-05      -1.283663558131e+00      -3.758106863521e-03      -1.994229071451e-04      -1.123861618294e-01       4.830561026852e-05      -9.609183067356e-03 
       2.565842997080e-04       1.012146969426e+03      -6.663530517579e-05      -1.286666313978e+00      -4.747946780225e-03      -1.722933560207e-04      -1.301514888090e-01       5.867117833556e-05      -1.197039903066e-02 
       2.755666984251e-04       1.086760445054e+03      -8.252547710158e-05      -1.290040734818e+00      -5.308415084624e-03      -1.471796245351e-04      -1.501171704335e-01       7.207353864190e-05      -1.482172821030e-02 
       2.954613594086e-04       1.164900493466e+03      -1.016930047975e-04      -1.293836137393e+00      -6.148080483502e-03      -1.379497332544e-04      -1.725700942631e-01       8.876200185743e-05      -1.826078057953e-02 
       3.163636275512e-04       1.246928854189e+03      -1.248003381631e-04      -1.298108729943e+00      -7.049616278557e-03      -1.094206881683e-04      -1.978447198904e-01       1.099281090774e-04      -2.240628987291e-02 
       3.383775873987e-04       1.333238738230e+03      -1.526554240829e-04      -1.302924464091e+00      -8.056973962900e-03      -1.112040446357e-04      -2.263295036553e-01       1.366514317646e-04      -2.740304949528e-02 
       3.616167230514e-04       1.424256794759e+03      -1.862458527885e-04      -1.308359691084e+00      -9.185093435930e-03      -8.283174952400e-05      -2.584765090805e-01       1.705940186273e-04      -3.342802231175e-02 
       3.862045015520e-04       1.520444647099e+03      -2.267810478505e-04      -1.314503487546e+00      -1.051951232099e-02      -8.797980856793e-05      -2.948111319724e-01       2.136891076183e-04      -4.069788731184e-02 
       4.122748246812e-04       1.622299765103e+03      -2.757442236167e-04      -1.321459073318e+00      -1.190316721229e-02      -6.718805779645e-05      -3.359441088291e-01       2.686451588538e-04      -4.947833004476e-02 
       4.399722779238e-04       1.730355379259e+03      -3.349560710832e-04      -1.329346581639e+00      -1.366259628772e-02      -6.140905564313e-05      -3.825840446301e-01       3.387592620610e-04      -6.009542539790e-02 
       4.694520878688e-04       1.845179076378e+03      -4.066523216949e-04      -1.338304873996e+00      -1.541037827417e-02      -7.577844624448e-05      -4.355521286133e-01       4.285330113820e-04      -7.294949395241e-02 
       5.008796821419e-04       1.967369648868e+03      -4.935774195826e-04      -1.348494765969e+00      -1.768822738396e-02      -4.170955239121e-05      -4.957970177561e-01       5.435968989553e-04      -8.853182616912e-02 
       5.344297319924e-04       2.097551739316e+03      -5.990964307736e-04      -1.360101142342e+00      -1.995957118962e-02      -1.160482533541e-04      -5.644112940556e-01       6.914740503872e-04      -1.074446484390e-01 
       5.702845511268e-04       2.236367810978e+03      -7.273269212710e-04      -1.373336256058e+00      -2.287940795306e-02      -7.406287889166e-05      -6.426470899496e-01       8.817435329608e-04      -1.304246314981e-01 
       6.086317309585e-04       2.384467013745e+03      -8.832917214266e-04      -1.388441797222e+00      -2.587266089014e-02      -1.617795575416e-04      -7.319315889896e-01       1.126985972450e-03      -1.583700927859e-01 
       6.496609187058e-04       2.542490665117e+03      -1.073092148441e-03      -1.405691563648e+00      -2.960926304142e-02      -1.357351510280e-04      -8.338796880807e-01       1.443319042855e-03      -1.923717998091e-01 
       6.935596970390e-04       2.711054285391e+03      -1.304099277406e-03      -1.425392690949e+00      -3.356012104947e-02      -2.345634992450e-04      -9.503035717903e-01       1.851606485937e-03      -2.337469229383e-01 
