# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.609097253491e-10       7.425507441749e-15       2.202658631508e-13       7.009113286287e-17       8.870219894075e-11       9.687217525969e-12      -7.596432764760e-15 
   41       1.634775461042e-10       8.070903457681e-15       2.113270616003e-13       7.364097441645e-17       8.436325890877e-11       9.249448100336e-12      -7.615915006483e-15 
   42       1.660786996609e-10       8.751748084938e-15       2.009689524215e-13       7.728076791797e-17       8.030259269365e-11       8.839706480413e-12      -7.812335397853e-15 
   43       1.687067004418e-10       9.468591897851e-15       1.891065363062e-13       8.101064730150e-17       7.650971447537e-11       8.456523465749e-12      -8.082076236379e-15 
   44       1.713500016519e-10       1.022191718964e-14       1.756467787387e-13       8.483074092874e-17       7.295742139786e-11       8.096637777130e-12      -8.298432587557e-15 
   45       1.739967843757e-10       1.101216941544e-14       1.605044585944e-13       8.874115024942e-17       6.961159059927e-11       7.756126537211e-12      -8.343415706687e-15 
   46       1.766520354239e-10       1.183987152810e-14       1.436566543986e-13       9.274187899132e-17       6.646720357910e-11       7.434532933257e-12      -8.217741519810e-15 
   47       1.793248509216e-10       1.270553747409e-14       1.251036158751e-13       9.683288221133e-17       6.352082467566e-11       7.131732044480e-12      -7.961385493386e-15 
   48       1.820235425981e-10       1.360963832181e-14       1.048541683479e-13       1.010140839355e-16       6.075973250395e-11       6.846699720190e-12      -7.623780847509e-15 
   49       1.847555123922e-10       1.455260055429e-14       8.292610944467e-14       1.052853756034e-16       5.816122820268e-11       6.577444433457e-12      -7.264354367939e-15 
   50       1.875261543709e-10       1.553476666575e-14       5.933866375109e-14       1.096466129520e-16       5.569951689139e-11       6.321669499480e-12      -6.941414973148e-15 
   51       1.903355000111e-10       1.655626830317e-14       3.408651191395e-14       1.140976092790e-16       5.337015897487e-11       6.079129740080e-12      -6.674020673003e-15 
   52       1.931804455660e-10       1.761711573919e-14       7.159397756877e-15       1.186381376618e-16       5.117106013153e-11       5.849796714017e-12      -6.470687011023e-15 
   53       1.960554780589e-10       1.871722916007e-14      -2.145052338877e-14       1.232679307683e-16       4.909515077416e-11       5.633151286716e-12      -6.340117641434e-15 
   54       1.989525041158e-10       1.985643518438e-14      -5.174866172450e-14       1.279866792273e-16       4.713005068335e-11       5.428149854029e-12      -6.291192035558e-15 
   55       2.018636546453e-10       2.103452482813e-14      -8.374052017395e-14       1.327940633436e-16       4.526187074234e-11       5.233548337099e-12      -6.329542835918e-15 
   56       2.047909069153e-10       2.225145223792e-14      -1.174400637307e-13       1.376898611988e-16       4.348849239512e-11       5.049045798309e-12      -6.446320403311e-15 
   57       2.077385529935e-10       2.350717922968e-14      -1.528633890210e-13       1.426738645514e-16       4.180899966986e-11       4.874365762351e-12      -6.626615608792e-15 
   58       2.107103793020e-10       2.480161710420e-14      -1.900264310496e-13       1.477458475237e-16       4.021966071742e-11       4.708903930788e-12      -6.852483639401e-15 
   59       2.137096113917e-10       2.613462555990e-14      -2.289450395969e-13       1.529055662715e-16       3.871375363049e-11       4.551708344945e-12      -7.102798833684e-15 
   60       2.167388587172e-10       2.750601160558e-14      -2.696350556159e-13       1.581527586547e-16       3.728139226276e-11       4.401459548812e-12      -7.353109517207e-15 
   61       2.198001334139e-10       2.891552303076e-14      -3.121097352822e-13       1.634871930923e-16       3.591228557318e-11       4.256839063726e-12      -7.581139553748e-15 
   62       2.228950364919e-10       3.036282956356e-14      -3.563711736508e-13       1.689088286909e-16       3.460513346969e-11       4.117776338918e-12      -7.785064433575e-15 
   63       2.260245156270e-10       3.184753553493e-14      -4.024170827541e-13       1.744176906370e-16       3.336004047450e-11       3.984447764886e-12      -7.969098521723e-15 
   64       2.291887430154e-10       3.336918371293e-14      -4.502432664725e-13       1.800138253895e-16       3.217568880500e-11       3.856905692378e-12      -8.138243662003e-15 
   65       2.323870624965e-10       3.492725404280e-14      -4.998436127748e-13       1.856973019104e-16       3.104925727148e-11       3.735070916121e-12      -8.298323178532e-15 
   66       2.356179366753e-10       3.652116238703e-14      -5.512100859578e-13       1.914682128954e-16       2.997634017484e-11       3.618725158561e-12      -8.456015877275e-15 
   67       2.388788940448e-10       3.815025926546e-14      -6.043327188866e-13       1.973266760046e-16       2.895086620424e-11       3.507503553600e-12      -8.618890047580e-15 
   68       2.421675008593e-10       3.981381187422e-14      -6.591980019698e-13       2.032728326520e-16       2.796672718418e-11       3.401005670396e-12      -8.793198501330e-15 
   69       2.454846236250e-10       4.151094872811e-14      -7.157836883647e-13       2.093068413364e-16       2.702322883792e-11       3.299171509076e-12      -8.976668872634e-15 
   70       2.488317357220e-10       4.324070148642e-14      -7.740629173936e-13       2.154288851642e-16       2.612060387113e-11       3.201968539164e-12      -9.164306812732e-15 
   71       2.522099249537e-10       4.500201902421e-14      -8.340056767848e-13       2.216391753177e-16       2.525836314329e-11       3.109275496327e-12      -9.350482850906e-15 
   72       2.556198668777e-10       4.679376574480e-14      -8.955787539084e-13       2.279379522241e-16       2.443525829549e-11       3.020877897827e-12      -9.528909133554e-15 
   73       2.590617981370e-10       4.861471989216e-14      -9.587456870126e-13       2.343254867237e-16       2.364924437833e-11       2.936463557975e-12      -9.692616163259e-15 
   74       2.625354897911e-10       5.046357186335e-14      -1.023466716459e-12       2.408020812375e-16       2.289744247974e-11       2.855618103580e-12      -9.833929537864e-15 
   75       2.660402206465e-10       5.233892252094e-14      -1.089698735959e-12       2.473680709362e-16       2.217610235284e-11       2.777820489403e-12      -9.944446689540e-15 
   76       2.695752594956e-10       5.423933778286e-14      -1.157398903889e-12       2.540237694817e-16       2.148153696914e-11       2.702572591285e-12      -1.001697153571e-14 
   77       2.731414723069e-10       5.616352761491e-14      -1.226536345308e-12       2.607692922464e-16       2.081320553816e-11       2.629825181509e-12      -1.005177714561e-14 
   78       2.767399610232e-10       5.811019676405e-14      -1.297082505180e-12       2.676047028300e-16       2.017112740564e-11       2.559621845479e-12      -1.005144814665e-14 
