# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       5.702845511268e-04       8.367084414915e+02      -2.783809554710e-04      -1.959961236241e-01      -3.207146984929e-03      -1.064052803812e-05      -9.141840919865e-02       1.266304357035e-04      -1.858468406661e-02 
       6.086317309585e-04       8.921614108938e+02      -3.380280753662e-04      -1.981579605432e-01      -3.626556007886e-03      -2.332597191067e-05      -1.041094222205e-01       1.618083696397e-04      -2.256355740896e-02 
       6.496609187058e-04       9.513339460339e+02      -4.106052112730e-04      -2.006244749436e-01      -4.150483154108e-03      -1.951754102257e-05      -1.185990488946e-01       2.071715387988e-04      -2.740404843468e-02 
       6.935596970390e-04       1.014456260845e+03      -4.989266045065e-04      -2.034393201195e-01      -4.704136499766e-03      -3.378997663371e-05      -1.351444676815e-01       2.657055859613e-04      -3.329337999933e-02 
       7.405086061108e-04       1.081740762015e+03      -6.063684584127e-04      -2.066510272138e-01      -5.375335405634e-03      -3.433390977010e-05      -1.540313333619e-01       3.412181979422e-04      -4.045604356524e-02 
       7.906754593871e-04       1.153373247863e+03      -7.369484307596e-04      -2.103128969971e-01      -6.101833154076e-03      -5.149102867095e-05      -1.755733211368e-01       4.385617866071e-04      -4.915902251511e-02 
       8.442092339807e-04       1.229503734055e+03      -8.954026154027e-04      -2.144827468825e-01      -6.960787548246e-03      -5.874731934181e-05      -2.001103790119e-01       5.638479639597e-04      -5.971682544473e-02 
       9.012339445199e-04       1.310237573524e+03      -1.087254658551e-03      -2.192223716961e-01      -7.903932948895e-03      -8.152489893176e-05      -2.280056250425e-01       7.247204198813e-04      -7.249596891780e-02 
       9.618430087101e-04       1.395627679412e+03      -1.318871068298e-03      -2.245968055866e-01      -8.996515868303e-03      -9.899697508047e-05      -2.596407969454e-01       9.306247347475e-04      -8.791851091198e-02 
       1.026094651636e-03       1.485668615691e+03      -1.597496822168e-03      -2.306733341759e-01      -1.020340901397e-02      -1.318282263443e-04      -2.954104353328e-01       1.193108331633e-03      -1.064642407106e-01 
