# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653317806238e-10       7.721635158023e-15       2.354081275522e-13       6.484864013595e-17       8.506015997085e-11       8.868956346158e-12      -6.939763767092e-15 
   41       1.678080642319e-10       8.385703925464e-15       2.261238478741e-13       6.813705266435e-17       8.085489957780e-11       8.471324101691e-12      -6.460906868821e-15 
   42       1.703075894197e-10       9.085644806692e-15       2.154645178986e-13       7.150830811009e-17       7.692168162840e-11       8.093067886908e-12      -6.437183837272e-15 
   43       1.728332853404e-10       9.821944961414e-15       2.033856006361e-13       7.496244913538e-17       7.325011471978e-11       7.735746926749e-12      -6.725627323543e-15 
   44       1.753846748234e-10       1.059501523959e-14       1.898401081538e-13       7.849951101855e-17       6.981355306543e-11       7.399949445673e-12      -7.146696965477e-15 
   45       1.779594700067e-10       1.140523091342e-14       1.747799307131e-13       8.211951788236e-17       6.657862595077e-11       7.085429917979e-12      -7.524043144653e-15 
   46       1.805597262026e-10       1.225307797744e-14       1.581609733812e-13       8.582247038012e-17       6.354027332892e-11       6.791780160793e-12      -7.823300226020e-15 
   47       1.831869516777e-10       1.313904366895e-14       1.399390675609e-13       8.960835407874e-17       6.069498290525e-11       6.517806986270e-12      -8.050942490726e-15 
   48       1.858401116683e-10       1.406357401865e-14       1.200683000635e-13       9.347714241796e-17       5.803022226102e-11       6.261248815429e-12      -8.216018509937e-15 
   49       1.885154010937e-10       1.502707236400e-14       9.850081956861e-14       9.742879635485e-17       5.552376794514e-11       6.018699435195e-12      -8.330311232592e-15 
   50       1.912084021163e-10       1.602987145180e-14       7.519199965681e-14       1.014632639970e-16       5.315040387342e-11       5.786581709354e-12      -8.408796512810e-15 
   51       1.939217745437e-10       1.707214426765e-14       5.011802908996e-14       1.055804802092e-16       5.090571652086e-11       5.564557182559e-12      -8.470794017267e-15 
   52       1.966592600215e-10       1.815396643247e-14       2.326276166821e-14       1.097803662853e-16       4.878759895944e-11       5.352910184166e-12      -8.539405440122e-15 
   53       1.994233673049e-10       1.927533783322e-14      -5.387165886031e-15       1.140628296035e-16       4.678912963857e-11       5.151552566816e-12      -8.641413368307e-15 
   54       2.022152572009e-10       2.043617989345e-14      -3.584227539386e-14       1.184277632695e-16       4.489824826789e-11       4.959996873068e-12      -8.807455413508e-15 
   55       2.050352901819e-10       2.163638199819e-14      -6.811042657973e-14       1.228750541519e-16       4.310143810190e-11       4.777591359455e-12      -9.062314371727e-15 
   56       2.078850921200e-10       2.287596052706e-14      -1.021975414247e-13       1.274046101368e-16       4.139658652715e-11       4.604354912035e-12      -9.392565100602e-15 
   57       2.107658001921e-10       2.415493454755e-14      -1.381069572307e-13       1.320163390203e-16       3.978275160425e-11       4.440302541057e-12      -9.771195437689e-15 
   58       2.136773578719e-10       2.547327932546e-14      -1.758391562993e-13       1.367101406827e-16       3.825627121234e-11       4.285185426492e-12      -1.016657963515e-14 
   59       2.166184256896e-10       2.683092551053e-14      -2.153917166656e-13       1.414859070595e-16       3.681059502544e-11       4.138474286915e-12      -1.054226740190e-14 
   60       2.195862919928e-10       2.822775832211e-14      -2.567592628330e-13       1.463435221123e-16       3.543611648883e-11       3.999342748386e-12      -1.085677294575e-14 
   61       2.225781329732e-10       2.966353902834e-14      -2.999338498822e-13       1.512828773142e-16       3.412284185754e-11       3.866897565024e-12      -1.107304707294e-14 
   62       2.255953251336e-10       3.113765063026e-14      -3.449063280018e-13       1.563039222336e-16       3.286947750652e-11       3.740967290963e-12      -1.118985522091e-14 
   63       2.286399468482e-10       3.264929338894e-14      -3.916651982126e-13       1.614066253049e-16       3.167609348668e-11       3.621461927705e-12      -1.121710026649e-14 
   64       2.317134690035e-10       3.419755427978e-14      -4.401961712082e-13       1.665909597695e-16       3.054138999292e-11       3.508133069096e-12      -1.116685533952e-14 
   65       2.348167085688e-10       3.578140371266e-14      -4.904821318402e-13       1.718569041390e-16       2.946261935831e-11       3.400565102625e-12      -1.105346010106e-14 
   66       2.379497821688e-10       3.739969225196e-14      -5.425031036031e-13       1.772044426588e-16       2.843550804831e-11       3.298166410719e-12      -1.089361702166e-14 
