# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   26       1.278531736700e-10       1.643293035023e-15       2.197045187418e-13       0.000000000000e+00       1.967378719941e-10       1.950292631129e-11      -5.058620126345e-15       1.103170466874e-04       1.233598294226e-07       2.333270894748e-11       4.248602293500e-08 
   27       1.298273856730e-10       1.881719980977e-15       2.269718249157e-13       0.000000000000e+00       1.834601705722e-10       1.829085609238e-11      -6.741670917368e-15       1.178444948816e-04       1.227825023769e-07       2.113848560821e-11       4.169772892144e-08 
   28       1.318176499820e-10       2.142954104931e-15       2.338759269482e-13       0.000000000000e+00       1.713682908211e-10       1.718222525619e-11      -9.085773414642e-15       1.255105895050e-04       1.221332937170e-07       1.918863707143e-11       4.090244380010e-08 
   29       1.338316922274e-10       2.427124613445e-15       2.401474229100e-13       0.000000000000e+00       1.604005896762e-10       1.616807794183e-11      -1.157442187108e-14       1.333033587050e-04       1.214280379621e-07       1.746550195453e-11       4.011242039166e-08 
   30       1.358796345021e-10       2.734215525004e-15       2.455002695118e-13       0.000000000000e+00       1.504393968857e-10       1.523884587247e-11      -1.372323458592e-14       1.412111462013e-04       1.206731634807e-07       1.594562995936e-11       3.934262905038e-08 
   31       1.379615381038e-10       3.064240520179e-15       2.496406358928e-13       0.000000000000e+00       1.412816563484e-10       1.437742876214e-11      -1.504244782520e-14       1.492226374958e-04       1.198631569138e-07       1.459032014979e-11       3.860116450159e-08 
   32       1.400797089870e-10       3.418264503892e-15       2.524602331674e-13       0.000000000000e+00       1.328802217261e-10       1.358093969337e-11      -1.545493779921e-14       1.573268596717e-04       1.190093424603e-07       1.338461000170e-11       3.788850645042e-08 
   33       1.422283952887e-10       3.797775200853e-15       2.539155004345e-13       0.000000000000e+00       1.251758522045e-10       1.284556827509e-11      -1.503744473317e-14       1.655132858788e-04       1.181187195153e-07       1.230998063642e-11       3.719626982550e-08 
   34       1.443959664256e-10       4.204380934116e-15       2.539885237956e-13       0.000000000000e+00       1.180609208692e-10       1.216323883960e-11      -1.393124160360e-14       1.737718540417e-04       1.171899244499e-07       1.134004080732e-11       3.651178935682e-08 
   35       1.465885706669e-10       4.639631278894e-15       2.527198470997e-13       0.000000000000e+00       1.114991047307e-10       1.153214226217e-11      -1.239127648052e-14       1.820928169803e-04       1.162308262047e-07       1.046554433529e-11       3.583690712989e-08 
   36       1.488131813656e-10       5.105149378687e-15       2.501906616797e-13       0.000000000000e+00       1.054378341613e-10       1.094900580038e-11      -1.076346650075e-14       1.904669373257e-04       1.152449367719e-07       9.676610973210e-12       3.517473964424e-08 
   37       1.510716601018e-10       5.602489225260e-15       2.464882809496e-13       0.000000000000e+00       9.979830659862e-11       1.040788153200e-11      -9.398042769942e-15       1.988854916626e-04       1.142302860798e-07       8.959408188345e-12       3.452574492314e-08 
   38       1.533643405871e-10       6.132456521164e-15       2.416094210477e-13       0.000000000000e+00       9.456600448581e-11       9.907021715998e-12      -8.376777282327e-15       2.073399573152e-04       1.131953487223e-07       8.309801362705e-12       3.389278900739e-08 
   39       1.556864576601e-10       6.695558290914e-15       2.355262034749e-13       0.000000000000e+00       8.972437564616e-11       9.443716978556e-12      -7.697924526073e-15       2.158223080356e-04       1.121469014538e-07       7.723391088044e-12       3.327711184746e-08 
   40       1.580263456003e-10       7.292173366843e-15       2.282119186323e-13       0.000000000000e+00       8.522729761309e-11       9.012111140905e-12      -7.347976010234e-15       2.243251591178e-04       1.110848218510e-07       7.191389635018e-12       3.267654365987e-08 
   41       1.603708886579e-10       7.922613369825e-15       2.196317241970e-13       0.000000000000e+00       8.101515911951e-11       8.605152966590e-12      -7.293005490320e-15       2.328416720197e-04       1.100053780807e-07       6.703169308667e-12       3.208727222389e-08 
   42       1.627255874374e-10       8.587350845916e-15       2.097113600213e-13       0.000000000000e+00       7.707560237884e-11       8.221862290946e-12      -7.451737959985e-15       2.413651155175e-04       1.089141487781e-07       6.255785849875e-12       3.151063976132e-08 
   43       1.650999179541e-10       9.286850468595e-15       1.983580657773e-13       0.000000000000e+00       7.339821226160e-11       7.861976429567e-12      -7.712018037745e-15       2.498892424692e-04       1.078160749200e-07       5.846938644550e-12       3.094799638932e-08 
   44       1.675015539498e-10       1.002150160669e-14       1.854681675138e-13       0.000000000000e+00       6.995628840105e-11       7.523819302495e-12      -7.936195389710e-15       2.584084582943e-04       1.067113515312e-07       5.472160698285e-12       3.039860358286e-08 
   45       1.699357464897e-10       1.079165396755e-14       1.709453063592e-13       0.000000000000e+00       6.671639206294e-11       7.205034783669e-12      -7.995241479542e-15       2.669176836758e-04       1.055979317861e-07       5.126135684507e-12       2.986072384795e-08 
   46       1.724038031376e-10       1.159774680694e-14       1.547633617167e-13       0.000000000000e+00       6.367344592533e-11       6.905322338296e-12      -7.886861141746e-15       2.754118036238e-04       1.044810094335e-07       4.807509388707e-12       2.933572539947e-08 
   47       1.749037487525e-10       1.244021143732e-14       1.369210847290e-13       0.000000000000e+00       6.082392202931e-11       6.624321341587e-12      -7.650094137970e-15       2.838861187383e-04       1.033655935254e-07       4.515234623669e-12       2.882488182165e-08 
   48       1.774304145647e-10       1.331943314608e-14       1.174251103629e-13       0.000000000000e+00       5.815525446495e-11       6.360766743565e-12      -7.333248947317e-15       2.923365338339e-04       1.022535140086e-07       4.247134899894e-12       2.832808609572e-08 
   49       1.799751778678e-10       1.423574941967e-14       9.629031198235e-14       0.000000000000e+00       5.564516717341e-11       6.112421667588e-12      -6.994428477438e-15       3.007595860632e-04       1.011431350675e-07       3.999824001965e-12       2.784373451859e-08 
   50       1.825293464918e-10       1.518942791512e-14       7.353451492072e-14       0.000000000000e+00       5.326838673118e-11       5.876748772983e-12      -6.690875828697e-15       3.091522689951e-04       1.000314677005e-07       3.769588686649e-12       2.736966680356e-08 
   51       1.850959991666e-10       1.618059744505e-14       4.916012292976e-14       0.000000000000e+00       5.102048829335e-11       5.653295550447e-12      -6.442382581475e-15       3.175113833091e-04       9.892184851702e-08       3.555505823425e-12       2.690655652312e-08 
   52       1.876809091330e-10       1.720929518972e-14       2.316811733959e-14       0.000000000000e+00       4.889936042668e-11       5.441839980528e-12      -6.258856825941e-15       3.258340584672e-04       9.781784975841e-08       3.357032349342e-12       2.645524030986e-08 
