# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   26       1.278531856133e-10       1.643293033870e-15       2.197045215632e-13       0.000000000000e+00       1.967341408861e-10       1.950283314792e-11      -5.058607960334e-15       1.103135324115e-04       1.233570813981e-07       2.333222310140e-11       4.248485981445e-08 
   27       1.298273875395e-10       1.881719977863e-15       2.269718287708e-13       0.000000000000e+00       1.834565273715e-10       1.829064110527e-11      -6.741762430317e-15       1.178406793748e-04       1.227796432875e-07       2.113803873356e-11       4.169655943585e-08 
   28       1.318176532144e-10       2.142954101103e-15       2.338759305859e-13       0.000000000000e+00       1.713648781576e-10       1.718199986114e-11      -9.085925358466e-15       1.255064722496e-04       1.221303946196e-07       1.918822562489e-11       4.090127910036e-08 
   29       1.338317062076e-10       2.427124610078e-15       2.401474255042e-13       0.000000000000e+00       1.603975234737e-10       1.616793168308e-11      -1.157457878512e-14       1.332989528727e-04       1.214251660798e-07       1.746512276690e-11       4.011127223377e-08 
   30       1.358796591431e-10       2.734215522635e-15       2.455002713624e-13       0.000000000000e+00       1.504366653301e-10       1.523877865049e-11      -1.372332824392e-14       1.412064634741e-04       1.206703339477e-07       1.594527857074e-11       3.934149975701e-08 
   31       1.379615640674e-10       3.064240518648e-15       2.496406383660e-13       0.000000000000e+00       1.412791231715e-10       1.437735399021e-11      -1.504240574077e-14       1.492176864368e-04       1.198603328241e-07       1.458999124450e-11       3.860004724998e-08 
   32       1.400797286495e-10       3.418264502817e-15       2.524602372860e-13       0.000000000000e+00       1.328777690719e-10       1.358079331459e-11      -1.545472475805e-14       1.573216432713e-04       1.190064910564e-07       1.338429935782e-11       3.788739608587e-08 
   33       1.422284070771e-10       3.797775199762e-15       2.539155062958e-13       0.000000000000e+00       1.251734375707e-10       1.284535261316e-11      -1.503708514001e-14       1.655077993517e-04       1.181158335997e-07       1.230968621728e-11       3.719516720485e-08 
   34       1.443959747518e-10       4.204380932610e-15       2.539885306392e-13       0.000000000000e+00       1.180585780937e-10       1.216301943327e-11      -1.393081736584e-14       1.737660860495e-04       1.171870225924e-07       1.133976282946e-11       3.651070111097e-08 
   35       1.465885797726e-10       4.639631277388e-15       2.527198544854e-13       0.000000000000e+00       1.114968697230e-10       1.153197172881e-11      -1.239086577618e-14       1.820867625728e-04       1.162279276374e-07       1.046528292182e-11       3.583583847750e-08 
   36       1.488131931215e-10       5.105149378791e-15       2.501906699510e-13       0.000000000000e+00       1.054357198148e-10       1.094889475984e-11      -1.076312067820e-14       1.904606034151e-04       1.152420528074e-07       9.676365395333e-12       3.517369170564e-08 
   37       1.510716739525e-10       5.602489229523e-15       2.464882911871e-13       0.000000000000e+00       9.979630301767e-11       1.040779953232e-11      -9.397783432217e-15       1.988788973577e-04       1.142274201967e-07       8.959176926140e-12       3.452471493118e-08 
   38       1.533643555108e-10       6.132456531062e-15       2.416094342271e-13       0.000000000000e+00       9.456409941564e-11       9.906937732176e-12      -8.376611271852e-15       2.073331266120e-04       1.131925040089e-07       8.309582817395e-12       3.389177438670e-08 
   39       1.556864727563e-10       6.695558306001e-15       2.355262201568e-13       0.000000000000e+00       8.972256126931e-11       9.443613235177e-12      -7.697846400175e-15       2.158152677088e-04       1.121440830855e-07       7.723183864801e-12       3.327611170774e-08 
   40       1.580263601426e-10       7.292173384324e-15       2.282119388563e-13       0.000000000000e+00       8.522557207975e-11       9.011986641228e-12      -7.347965527344e-15       2.243179386372e-04       1.110820376513e-07       7.191192663632e-12       3.267555929922e-08 
   41       1.603709021965e-10       7.922613384935e-15       2.196317475026e-13       0.000000000000e+00       8.101352615031e-11       8.605022459363e-12      -7.293028970791e-15       2.328343027802e-04       1.100026382759e-07       6.702981872405e-12       3.208630688838e-08 
   42       1.627256000620e-10       8.587350855093e-15       2.097113859148e-13       0.000000000000e+00       7.707406406323e-11       8.221739200792e-12      -7.451763153434e-15       2.413576277858e-04       1.089114629269e-07       6.255607279939e-12       3.150969579686e-08 
   43       1.650999304552e-10       9.286850470721e-15       1.983580938859e-13       0.000000000000e+00       7.339676663252e-11       7.861866997826e-12      -7.712019624653e-15       2.498816638411e-04       1.078134508163e-07       5.846768256215e-12       3.094707421211e-08 
   44       1.675015679455e-10       1.002150160361e-14       1.854681976213e-13       0.000000000000e+00       6.995492882850e-11       7.523720980458e-12      -7.936156958207e-15       2.584008126943e-04       1.067087948564e-07       5.471997821614e-12       3.039770133821e-08 
   45       1.699357642270e-10       1.079165396380e-14       1.709453383686e-13       0.000000000000e+00       6.671510768834e-11       7.204936904995e-12      -7.995156378318e-15       2.669099900462e-04       1.055954459798e-07       5.125979677558e-12       2.985983756678e-08 
   46       1.724038261851e-10       1.159774680667e-14       1.547633953619e-13       0.000000000000e+00       6.367222565775e-11       6.905214666488e-12      -7.886729265494e-15       2.754040737243e-04       1.044785963470e-07       4.807359585849e-12       2.933485086797e-08 
