# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       2.641263503068e-04      -5.511497194631e-04      -2.544864855422e-02      -7.691157593613e-07      -5.752131133468e-06      -1.903262625238e-05       1.101924843686e-05      -3.074185862732e-08      -1.992527873993e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.243913491731e+01 
       2.839115330950e-04      -6.825472547604e-04      -2.734179141503e-02      -7.907489191360e-07      -7.124191742733e-06      -6.771122080138e-05       5.417057066341e-05      -8.482475806427e-08      -7.400817817688e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.836853171826e+01 
       3.046913073430e-04      -8.412538078050e-04      -2.933789388403e-02      -8.015654990234e-07      -8.781546052190e-06       2.709382473688e-05      -3.116541312396e-05       2.391033448792e-08       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.457556943623e+01 
       3.265715193731e-04      -1.032872366978e-03      -3.144966031894e-02      -8.015654990234e-07      -1.078288504718e-05       6.406660267301e-05      -6.476171025420e-05       6.717665403748e-08       5.636007415009e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.010895989882e+02 
       3.496678873628e-04      -1.264265198279e-03      -3.369130370573e-02      -7.799323392487e-07      -1.320004742646e-05       9.970040187782e-06      -1.708222611058e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.079424090268e+02 
       3.741067060224e-04      -1.543858417439e-03      -3.607886332450e-02      -7.366660196991e-07      -1.612115047679e-05      -3.849108417612e-05       2.542864072790e-05      -5.237501840210e-08      -4.155843851471e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.151683546766e+02 
       4.000254369668e-04      -1.881989259068e-03      -3.863043872916e-02      -6.603806668091e-07      -1.965446199184e-05      -2.926169506378e-05       1.644860224665e-05      -4.155843851471e-08      -4.155843851471e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.228044386113e+02 
       4.275731119149e-04      -2.291373466765e-03      -4.136641177197e-02      -5.300124144821e-07      -2.393316728147e-05       1.155552308180e-05      -2.069781026136e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.308903194597e+02 
       4.569104556571e-04      -2.787668324563e-03      -4.430987812817e-02      -3.563778426056e-07      -2.912120400515e-05       3.952662937691e-05      -4.647599730772e-05       3.472691437531e-08       3.472691437531e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.394682219086e+02 
       4.882096147796e-04      -3.390125636782e-03      -4.748688753790e-02      -9.564133795166e-08      -3.542034686427e-05       3.108969706475e-05      -4.009136870577e-05       2.391033448792e-08       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.485827147777e+02 
       5.216533592001e-04      -4.122406387277e-03      -5.092684458893e-02       2.624443856888e-07      -4.307872015319e-05       3.845578796806e-06      -1.728831042212e-05      -9.108698852539e-09      -9.108698852539e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.582803193727e+02 
       5.574336111076e-04      -5.013545692229e-03      -5.466293170189e-02       7.622842352219e-07      -5.240089145519e-05      -1.416858106512e-05      -2.901120584534e-06      -3.074185862732e-08      -1.992527873993e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.686089111970e+02 
       5.957491561832e-04      -6.099072031512e-03      -5.873244842928e-02       1.435189362953e-06      -6.375964049855e-05      -5.090624071213e-06      -1.273908463895e-05      -1.992527873993e-08      -9.108698852539e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.796168805279e+02 
       6.368024128256e-04      -7.422267664898e-03      -6.317726461326e-02       2.358014415451e-06      -7.760939214493e-05       1.836370618040e-05      -3.563949214159e-05       1.707881034851e-09       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.913520221179e+02 
       6.807951847174e-04      -9.035567386627e-03      -6.804414772950e-02       3.585411585831e-06      -9.450115253846e-05       3.410809214701e-05      -5.222017052161e-05       2.391033448792e-08       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.038601529808e+02 
       7.279234067888e-04      -1.100209163328e-02      -7.338514146749e-02       5.246610539063e-06      -1.150985718530e-04       2.928731327930e-05      -5.124269327599e-05       1.252446092224e-08       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.171834742711e+02 
       7.783710154798e-04      -1.339718699246e-02      -7.925781735831e-02       7.440099081490e-06      -1.401945008005e-04       1.739704551467e-05      -4.479316519472e-05      -9.108698852539e-09       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.313587356081e+02 
       8.323032229236e-04      -1.630994564766e-02      -8.572556682235e-02       1.036057565108e-05      -1.707271429859e-04       1.609393228508e-05      -4.871275216970e-05      -9.108698852539e-09       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.464153085220e+02 
       8.898596308005e-04      -1.984452272378e-02      -9.285765582143e-02       1.421583244042e-05      -2.077946434265e-04       3.152406814128e-05      -6.868129722918e-05      -9.108698852539e-09       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.623733001721e+02 
       9.511477507798e-04      -2.412121794516e-02      -1.007293011442e-01       1.927571465301e-05      -2.526668077506e-04       5.147098004099e-05      -9.423119751055e-05       1.252446092224e-08       4.554349426270e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.792418890273e+02 
       1.016237566123e-03      -2.927715195644e-02      -1.094216356793e-01       2.586642756650e-05      -3.067926496537e-04       6.589061961823e-05      -1.169904201810e-04       1.252446092224e-08       6.717665403748e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.970180609028e+02 
       1.085157739717e-03      -3.546636139462e-02      -1.190212563959e-01       3.443372813099e-05      -3.718026406516e-04       7.452338895573e-05      -1.373608865773e-04       1.252446092224e-08       7.799323392487e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.156859016903e+02 
       1.157893933083e-03      -4.285943283323e-02      -1.296207412627e-01       4.546607032245e-05      -4.495049557664e-04       8.591381687083e-05      -1.635296090870e-04       1.707881034851e-09       8.880981381226e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.352165612742e+02 
       1.234389463579e-03      -5.164239209034e-02      -1.413151452452e-01       5.959309294906e-05      -5.418755669134e-04       1.054696240135e-04      -2.009475746795e-04       1.707881034851e-09       1.104429735870e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.555689177749e+02 
       1.314548237718e-03      -6.201520812480e-02      -1.542125094669e-01       7.753096745810e-05      -6.510427080930e-04       1.349396805636e-04      -2.520798249819e-04       1.707881034851e-09       1.537092931366e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.766909334166e+02 
       1.398239619509e-03      -7.418940257208e-02      -1.684162609262e-01       1.001490052963e-04      -7.792629189232e-04       1.731501029563e-04      -3.170242785069e-04       1.252446092224e-08       1.975449063644e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.985195907065e+02 
       1.485304683764e-03      -8.838638911457e-02      -1.840222020711e-01       1.284355002892e-04      -9.289045803748e-04       2.195589236100e-04      -3.966274749539e-04       2.391033448792e-08       2.516278058014e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.209873326345e+02 
       1.575563203249e-03      -1.048349327240e-01      -2.011439024360e-01       1.635079759272e-04      -1.102421444854e-03       2.751652529300e-04      -4.932998037570e-04       3.472691437531e-08       3.170965788040e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.440227246587e+02 
       1.668820731233e-03      -1.237682405705e-01      -2.198950698939e-01       2.066484815739e-04      -1.302323582259e-03       3.418466214674e-04      -6.103534155362e-04       3.472691437531e-08       3.928126380157e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.675509492195e+02 
       1.764875244855e-03      -1.454219387533e-01      -2.403852348404e-01       2.592791128375e-04      -1.531155437757e-03       4.217646373185e-04      -7.515672817282e-04       4.554349426270e-08       4.907311506805e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.914970408566e+02 
       1.863522970598e-03      -1.700318190360e-01      -2.627251300198e-01       3.229961691921e-04      -1.791473936228e-03       5.173183040437e-04      -9.211211565188e-04       5.636007415009e-08       5.988969495544e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.157876224346e+02 
       1.964563180755e-03      -1.978320859912e-01      -2.870244475071e-01       3.995263183637e-04      -2.085829208850e-03       6.311798861689e-04      -1.123620056472e-03       6.717665403748e-08       7.292652018814e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.403522678080e+02 
       2.067801897985e-03      -2.290537191430e-01      -3.133917823488e-01       4.907590460708e-04      -2.416748053390e-03       7.664975777348e-04      -1.364296929078e-03       8.880981381226e-08       8.920831938705e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.651244612956e+02 
       2.173054556912e-03      -2.639231493592e-01      -3.419340900253e-01       5.987455174360e-04      -2.786720330965e-03       9.269632482453e-04      -1.648993296769e-03       1.104429735870e-07       1.077103639313e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.900422502096e+02 
       2.280147742849e-03      -3.026612694183e-01      -3.727559258750e-01       7.256917454628e-04      -3.198187880987e-03       1.115584476203e-03      -1.983204551424e-03       1.320761333618e-07       1.283187950851e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.150485854729e+02 
       2.388920162772e-03      -3.454825652680e-01      -4.059596198673e-01       8.739306956448e-04      -3.653536087318e-03       1.333904047475e-03      -2.371469102244e-03       1.645258730240e-07       1.533107875618e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.400914891699e+02 
       2.499223011227e-03      -3.925945410383e-01      -4.416443196199e-01       1.045960428642e-03      -4.155087155105e-03       1.582930750460e-03      -2.818042988768e-03       1.867283264771e-07       1.815477540047e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.651239525121e+02 
       2.610919883542e-03      -4.441973063036e-01      -4.799061873744e-01       1.244441253814e-03      -4.705095847249e-03       1.866835230646e-03      -3.329984883314e-03       2.191780661392e-07       2.130296944138e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.901038673540e+02 
       2.723886368643e-03      -5.004832612632e-01      -5.208377806051e-01       1.472153032190e-03      -5.305745744929e-03       2.193206172763e-03      -3.917338264954e-03       2.516278058014e-07       2.477566087891e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.149936863971e+02 
       2.838009429999e-03      -5.616369652348e-01      -5.645294291397e-01       1.732005993056e-03      -5.959147838749e-03       2.565812870255e-03      -4.587139603551e-03       3.057107052383e-07       2.890304004646e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.397602071487e+02 
       2.953186659667e-03      -6.278348895806e-01      -6.110668612054e-01       2.027083430971e-03      -6.667337389290e-03       2.983188822608e-03      -5.342407294188e-03       3.495463184662e-07       3.335491661064e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.643740021451e+02 
       3.069325469253e-03      -6.992456215147e-01      -6.605324160241e-01       2.360556311725e-03      -7.432276191708e-03       3.451327553666e-03      -6.192349662111e-03       4.036292179031e-07       3.834762216919e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.888094284965e+02 
       3.186342263839e-03      -7.760296158910e-01      -7.130069441147e-01       2.735757849803e-03      -8.255849202514e-03       3.978927301539e-03      -7.148552972261e-03       4.577121173401e-07       4.388684965889e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.130438705458e+02 
       3.304161630640e-03      -8.583394212130e-01      -7.685634909797e-01       3.156130564078e-03      -9.139866618234e-03       4.564141277536e-03      -8.214175665963e-03       5.231808903427e-07       4.996690614296e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.370576726944e+02 
       3.422715563174e-03      -9.463199540328e-01      -8.272746330238e-01       3.625225139221e-03      -1.008606674369e-02       5.213246513753e-03      -9.399100681475e-03       5.880803696671e-07       5.659348455818e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.608339856689e+02 
       3.541942733498e-03      -1.040108105570e+00      -8.892110918927e-01       4.146743692024e-03      -1.109611134743e-02       5.933876099829e-03      -1.071446738820e-02       6.751823024445e-07       6.397722356552e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.843579765423e+02 
       3.661787819128e-03      -1.139833199422e+00      -9.544337176797e-01       4.724465763214e-03      -1.217159007227e-02       6.724477571902e-03      -1.216405475757e-02       7.508983616562e-07       7.190179156723e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.076169234507e+02 
       3.782200887106e-03      -1.245617424231e+00      -1.023005792501e+00       5.362289306609e-03      -1.331402451295e-02       7.595745681013e-03      -1.376172907571e-02       8.488168743210e-07       8.069737889671e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.306001811885e+02 
       3.903136834842e-03      -1.357575194932e+00      -1.094984334534e+00       6.064242074981e-03      -1.452486146276e-02       8.547941732961e-03      -1.551297434862e-02       9.467353869858e-07       9.003379522057e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.532983587318e+02 
       4.024554885575e-03      -1.475814192855e+00      -1.170422255641e+00       6.834396795305e-03      -1.580548328165e-02       9.588199546828e-03      -1.742897435062e-02       1.044084605972e-06       1.002412308722e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.757038052893e+02 
       4.146418135170e-03      -1.600434803831e+00      -1.249370807625e+00       7.676999259834e-03      -1.715720186013e-02       1.072064536319e-02      -1.951855711877e-02       1.163636278412e-06       1.111033542538e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.978099317801e+02 
       4.268693146425e-03      -1.731530756940e+00      -1.331877116045e+00       8.596304938812e-03      -1.858126458013e-02       1.194976407766e-02      -2.179091959244e-02       1.283187950851e-06       1.228308040265e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.019611359303e+03 
       4.391349586775e-03      -1.869188799447e+00      -1.417982724541e+00       9.596745214233e-03      -2.007885098370e-02       1.328147235941e-02      -2.425650717204e-02       1.413556203178e-06       1.354235801901e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.041103546980e+03 
       4.514359905341e-03      -2.013490063669e+00      -1.507724583686e+00       1.068274976021e-02      -2.165108659267e-02       1.471966987016e-02      -2.692423499659e-02       1.554741035393e-06       1.488873756815e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.062283292405e+03 
       4.637699045358e-03      -2.164509135049e+00      -1.601144151154e+00       1.185887918839e-02      -2.329903286224e-02       1.627024026007e-02      -2.980464695428e-02       1.706742447495e-06       1.632221905007e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.083148019905e+03 
       4.761344188283e-03      -2.322313683250e+00      -1.698275609047e+00       1.312976982649e-02      -2.502368292862e-02       1.793796274956e-02      -3.290746088821e-02       1.858743859596e-06       1.784223317109e-05       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.103695441886e+03 
