# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.609097096339e-10       7.425326514088e-15       2.202658654404e-13       6.990979448201e-17       8.870728562213e-11       9.687581827447e-12      -7.596473789718e-15 
   41       1.634775297250e-10       8.070713546296e-15       2.113270632268e-13       7.345059443934e-17       8.436831030561e-11       9.249809971234e-12      -7.615980442599e-15 
   42       1.660786826120e-10       8.751548977765e-15       2.009689532500e-13       7.708112802941e-17       8.030760075994e-11       8.840055380025e-12      -7.812416460034e-15 
   43       1.687066827179e-10       9.468383383432e-15       1.891065361873e-13       8.080152932651e-17       7.651467114039e-11       8.456854548920e-12      -8.082165843242e-15 
   44       1.713499832482e-10       1.022169905715e-14       1.756467775079e-13       8.461192683510e-17       7.296231847014e-11       8.096953146098e-12      -8.298525883508e-15 
   45       1.739967652885e-10       1.101194145471e-14       1.605044560707e-13       8.851242215427e-17       6.961642007172e-11       7.756434930024e-12      -8.343510222540e-15 
   46       1.766520156501e-10       1.183963352966e-14       1.436566503838e-13       9.250301918121e-17       6.647195930558e-11       7.434843990516e-12      -8.217836040870e-15 
   47       1.793248304589e-10       1.270528922918e-14       1.251036101525e-13       9.658367315289e-17       6.352550306814e-11       7.132054502513e-12      -7.961479890920e-15 
   48       1.820235214450e-10       1.360937962242e-14       1.048541606814e-13       1.007543082826e-16       6.076433286628e-11       6.847041080884e-12      -7.623876282402e-15 
   49       1.847554905484e-10       1.455233119319e-14       8.292609957743e-14       1.050148162046e-16       5.816575307752e-11       6.577810613648e-12      -7.264453505261e-15 
   50       1.875261318368e-10       1.553448643649e-14       5.933865140493e-14       1.093650528590e-16       5.570397155609e-11       6.322064194189e-12      -6.941521536601e-15 
   51       1.903354767882e-10       1.655597700013e-14       3.408649678937e-14       1.138048317583e-16       5.337454808156e-11       6.079552883130e-12      -6.674136782466e-15 
   52       1.931804216567e-10       1.761681315759e-14       7.159379532520e-15       1.183339262043e-16       5.117538645051e-11       5.850243560936e-12      -6.470812154097e-15 
   53       1.960554534668e-10       1.871691509599e-14      -2.145054505708e-14       1.229520690986e-16       4.909941470684e-11       5.633611709775e-12      -6.340248243250e-15 
   54       1.989524788456e-10       1.985610943480e-14      -5.174868720467e-14       1.276589513134e-16       4.713424974768e-11       5.428607604342e-12      -6.291321007908e-15 
   55       2.018636287027e-10       2.103418719093e-14      -8.374054985789e-14       1.324542534020e-16       4.526599981001e-11       5.233982261623e-12      -6.329660195073e-15 
   56       2.047908803072e-10       2.225110251188e-14      -1.174400980324e-13       1.373377536844e-16       4.349254646614e-11       5.049437565710e-12      -6.446417452128e-15 
   57       2.077385257278e-10       2.350681721448e-14      -1.528634283764e-13       1.423092441601e-16       4.181297469190e-11       4.874702639248e-12      -6.626686403774e-15 
   58       2.107103513877e-10       2.480124260044e-14      -1.900264759167e-13       1.473684991984e-16       4.022355368374e-11       4.709179755349e-12      -6.852525467279e-15 
   59       2.137095828390e-10       2.613423836912e-14      -2.289450904565e-13       1.525152752087e-16       3.871756268078e-11       4.551924544993e-12      -7.102812709770e-15 
   60       2.167388295373e-10       2.750561153028e-14      -2.696351129716e-13       1.577493103108e-16       3.728511678674e-11       4.401626204434e-12      -7.353100705523e-15 
   61       2.198001036191e-10       2.891510987439e-14      -3.121097996604e-13       1.630703731845e-16       3.591592611699e-11       4.256973892374e-12      -7.581116996675e-15 
   62       2.228950060957e-10       3.036240313048e-14      -3.563712455983e-13       1.684784231766e-16       3.460869099219e-11       4.117896802375e-12      -7.785036574797e-15 
   63       2.260244846437e-10       3.184709563043e-14      -4.024171628375e-13       1.739734857100e-16       3.336351611209e-11       3.984568582451e-12      -7.969071961267e-15 
   64       2.291887114604e-10       3.336873014320e-14      -4.502433552779e-13       1.795556074815e-16       3.217908382023e-11       3.857038317446e-12      -8.138222838834e-15 
   65       2.323870303861e-10       3.492678661494e-14      -4.998437109076e-13       1.852248576930e-16       3.105257299817e-11       3.735222989950e-12      -8.298310039636e-15 
   66       2.356179040269e-10       3.652068090906e-14      -5.512101940426e-13       1.909813292812e-16       2.997957795961e-11       3.618899941210e-12      -8.456009533220e-15 
   67       2.388788608766e-10       3.814976354633e-14      -6.043328375668e-13       1.968251401490e-16       2.895402734459e-11       3.507699332040e-12      -8.618886414560e-15 
   68       2.421674671906e-10       3.981330172381e-14      -6.591981319073e-13       2.027564319572e-16       2.796981290396e-11       3.401216244299e-12      -8.793190827376e-15 
   69       2.454845894762e-10       4.151042395720e-14      -7.157838302412e-13       2.087753634656e-16       2.702624039161e-11       3.299390214208e-12      -8.976651154591e-15 
   70       2.488317011143e-10       4.324016190665e-14      -7.740630719100e-13       2.148821180469e-16       2.612354253925e-11       3.202189412277e-12      -9.164274886620e-15 
   71       2.522098899095e-10       4.500146444813e-14      -8.340058446612e-13       2.210769071538e-16       2.526123018671e-11       3.109493408198e-12      -9.350434645698e-15 
   72       2.556198314205e-10       4.679319598583e-14      -8.955789358839e-13       2.273599714865e-16       2.443805490730e-11       3.021088691622e-12      -9.528844934385e-15 
   73       2.590617622912e-10       4.861413476460e-14      -9.587458838449e-13       2.337315821615e-16       2.365197163326e-11       2.936664192930e-12      -9.692538884087e-15 
   74       2.625354535822e-10       5.046297118236e-14      -1.023466928924e-12       2.401920418796e-16       2.290010128108e-11       2.855806804006e-12      -9.833845003562e-15 
   75       2.660401841011e-10       5.233830610255e-14      -1.089698964852e-12       2.467416860942e-16       2.217869337690e-11       2.777996899012e-12      -9.944363927435e-15 
   76       2.695752226411e-10       5.423870544397e-14      -1.157399150021e-12       2.533808287631e-16       2.148406069549e-11       2.702737638893e-12      -1.001690209649e-14 
   77       2.731414351723e-10       5.616287917327e-14      -1.226536609512e-12       2.601095856024e-16       2.081566256070e-11       2.629980008358e-12      -1.005173128713e-14 
   78       2.767399236387e-10       5.810953203828e-14      -1.297082788308e-12       2.669280205749e-16       2.017351850980e-11       2.559767508689e-12      -1.005143359726e-14 
   79       2.803715270804e-10       6.007730966131e-14      -1.369008006387e-12       2.738361984784e-16       1.955726899928e-11       2.492107542213e-12      -1.001906238149e-14 
   80       2.840368054005e-10       6.206479800555e-14      -1.442281485016e-12       2.808341849774e-16       1.896615796211e-11       2.426969676413e-12      -9.958159128059e-15 
   81       2.877360231310e-10       6.407052284156e-14      -1.516871373030e-12       2.879220466351e-16       1.839901536509e-11       2.364283908048e-12      -9.872770335900e-15 
   82       2.914691332002e-10       6.609294921369e-14      -1.592744773131e-12       2.950998509453e-16       1.785423976612e-11       2.303938927268e-12      -9.767464391563e-15 
   83       2.952357606983e-10       6.813048090653e-14      -1.669867768171e-12       3.023676663643e-16       1.732978087156e-11       2.245780381731e-12      -9.647348446227e-15 
   84       2.990354579783e-10       7.018148839975e-14      -1.748202871108e-12       3.097255697625e-16       1.682363990125e-11       2.189651111070e-12      -9.517254616173e-15 
   85       3.028685541042e-10       7.224439922621e-14      -1.827700831577e-12       3.171736701295e-16       1.633550419929e-11       2.135523316398e-12      -9.379106606187e-15 
   86       3.067354171146e-10       7.431762168468e-14      -1.908307512906e-12       3.247120888756e-16       1.586535288671e-11       2.083385220928e-12      -9.234145441436e-15 
   87       3.106361837087e-10       7.639951762937e-14      -1.989966330920e-12       3.323409529154e-16       1.541295453611e-11       2.033200032440e-12      -9.083724202032e-15 
   88       3.145707475729e-10       7.848840241513e-14      -2.072618236930e-12       3.400603948249e-16       1.497785843158e-11       1.984904912787e-12      -8.929310939061e-15 
   89       3.185387477078e-10       8.058254484270e-14      -2.156201700724e-12       3.478705529973e-16       1.455938582867e-11       1.938409947389e-12      -8.772491590619e-15 
   90       3.225395567548e-10       8.268016710396e-14      -2.240652693553e-12       3.557715718006e-16       1.415662121439e-11       1.893597114744e-12      -8.614972897846e-15 
   91       3.265722693229e-10       8.477944472716e-14      -2.325904671120e-12       3.637636017330e-16       1.376840356709e-11       1.850319255918e-12      -8.458585320961e-15 
   92       3.306356903155e-10       8.687850652213e-14      -2.411888556573e-12       3.718467995807e-16       1.339331761650e-11       1.808399044054e-12      -8.305285955293e-15 
   93       3.347286874758e-10       8.897546118145e-14      -2.498535244373e-12       3.800213946350e-16       1.303003074541e-11       1.767671270037e-12      -8.156841037528e-15 
   94       3.388513350302e-10       9.106848177921e-14      -2.585783579634e-12       3.882878984006e-16       1.267838064012e-11       1.728119212732e-12      -8.013812508104e-15 
   95       3.430039212667e-10       9.315573393875e-14      -2.673573553010e-12       3.966469268638e-16       1.233843582438e-11       1.689756968990e-12      -7.876423709958e-15 
   96       3.471865930581e-10       9.523535061608e-14      -2.761843904099e-12       4.050991382905e-16       1.201016065129e-11       1.652587534899e-12      -7.744864754983e-15 
   97       3.513993491879e-10       9.730543241106e-14      -2.850532139039e-12       4.136452342898e-16       1.169341130781e-11       1.616602369882e-12      -7.619291041847e-15 
   98       3.556420336773e-10       9.936404787852e-14      -2.939574548095e-12       4.222859608773e-16       1.138793181929e-11       1.581780960792e-12      -7.499821773817e-15 
   99       3.599143291108e-10       1.014092338394e-13      -3.028906223257e-12       4.310221095382e-16       1.109335005399e-11       1.548090386008e-12      -7.386538476581e-15 
  100       3.642157499633e-10       1.034389956918e-13      -3.118461075831e-12       4.398545182911e-16       1.080917372762e-11       1.515484879527e-12      -7.279483516066e-15 
  101       3.685456359258e-10       1.054513077225e-13      -3.208171854030e-12       4.487840727512e-16       1.053478640788e-11       1.483905395061e-12      -7.178658616262e-15 
  102       3.729031452322e-10       1.074441134174e-13      -3.297970160572e-12       4.578117071939e-16       1.026944351896e-11       1.453279170130e-12      -7.084023377043e-15 
  103       3.772872479853e-10       1.094153257733e-13      -3.387786470266e-12       4.669384056178e-16       1.001226834610e-11       1.423519290160e-12      -6.995493791988e-15 
  104       3.816969347578e-10       1.113628852760e-13      -3.477550537367e-12       4.761651232977e-16       9.762451334437e-12       1.394545278330e-12      -6.912914764949e-15 
  105       3.861318888603e-10       1.132849420852e-13      -3.567192642408e-12       4.854925370836e-16       9.519887252618e-12       1.366348971681e-12      -6.835976623923e-15 
  106       3.905918928682e-10       1.151796991544e-13      -3.656642547374e-12       4.949212631958e-16       9.284617052694e-12       1.338936772682e-12      -6.764284513717e-15 
  107       3.950766172002e-10       1.170453576954e-13      -3.745829142604e-12       5.044519339113e-16       9.056630521632e-12       1.312309215757e-12      -6.697381643530e-15 
  108       3.995856158112e-10       1.188801181229e-13      -3.834680468661e-12       5.140851977534e-16       8.835864519849e-12       1.286460762428e-12      -6.634747519047e-15 
  109       4.041183218835e-10       1.206821809992e-13      -3.923123738211e-12       5.238217196813e-16       8.622201219738e-12       1.261379596464e-12      -6.575796174535e-15 
  110       4.086740435192e-10       1.224497479794e-13      -4.011085357897e-12       5.336621812794e-16       8.415466344210e-12       1.237047419029e-12      -6.519874404933e-15 
  111       4.132519594320e-10       1.241810227559e-13      -4.098490950216e-12       5.436072809476e-16       8.215427405217e-12       1.213439243826e-12      -6.466259997947e-15 
  112       4.178511146394e-10       1.258742120033e-13      -4.185265375394e-12       5.536577340905e-16       8.021791942295e-12       1.190523192247e-12      -6.414159966144e-15 
  113       4.224704161546e-10       1.275275263235e-13      -4.271332753263e-12       5.638142733073e-16       7.834205761088e-12       1.168260288517e-12      -6.362708779043e-15 
  114       4.271086286784e-10       1.291391811903e-13      -4.356616485136e-12       5.740776485813e-16       7.652251171887e-12       1.146604254845e-12      -6.310966595211e-15 
  115       4.317643702913e-10       1.307073978944e-13      -4.441039275682e-12       5.844486274695e-16       7.475445228159e-12       1.125501306568e-12      -6.257917494355e-15 
  116       4.364363011852e-10       1.322304511401e-13      -4.524524127158e-12       5.949279843092e-16       7.303345885730e-12       1.104902365578e-12      -6.202691551211e-15 
  117       4.411237251006e-10       1.337068163817e-13      -4.606997412460e-12       6.055164659417e-16       7.135888888868e-12       1.084801823157e-12      -6.145265467760e-15 
  118       4.458260532633e-10       1.351350422582e-13      -4.688386218515e-12       6.162148221579e-16       6.973088726072e-12       1.065203127226e-12      -6.085844201324e-15 
  119       4.505426153150e-10       1.365137068865e-13      -4.768617437500e-12       6.270238164003e-16       6.814933575862e-12       1.046106691740e-12      -6.024644953743e-15 
  120       4.552726567115e-10       1.378414192189e-13      -4.847617797315e-12       6.379442258556e-16       6.661384499511e-12       1.027509801632e-12      -5.961897382610e-15 
  121       4.600153361223e-10       1.391168204006e-13      -4.925313892054e-12       6.489768415470e-16       6.512374633784e-12       1.009406517761e-12      -5.897843812521e-15 
  122       4.647697228286e-10       1.403385851263e-13      -5.001632212485e-12       6.601224684273e-16       6.367808383681e-12       9.917875818592e-13      -5.832739446313e-15 
  123       4.695347941229e-10       1.415054229985e-13      -5.076499176513e-12       6.713819254707e-16       6.227560615170e-12       9.746403214755e-13      -5.766852576310e-15 
  124       4.743094327069e-10       1.426160798842e-13      -5.149841159662e-12       6.827560457658e-16       6.091475847930e-12       9.579485549236e-13      -5.700464795561e-15 
  125       4.790924240911e-10       1.436693392724e-13      -5.221584525543e-12       6.942456766083e-16       5.959367448085e-12       9.416924962277e-13      -5.633871209089e-15 
  126       4.838824539932e-10       1.446640236313e-13      -5.291655656330e-12       7.058516795929e-16       5.831016820948e-12       9.258486600684e-13      -5.567380645131e-15 
  127       4.886781057370e-10       1.455989957659e-13      -5.359980983231e-12       7.175749307067e-16       5.706172603752e-12       9.103897667294e-13      -5.501315866377e-15 
  128       4.934778576512e-10       1.464731601752e-13      -5.426487016962e-12       7.294163204209e-16       5.584549858397e-12       8.952846470434e-13      -5.436013781219e-15 
  129       4.982802302215e-10       1.472855079642e-13      -5.491101192229e-12       7.413767473823e-16       5.465891452100e-12       8.805049455590e-13      -5.371752789373e-15 
  130       5.030842513246e-10       1.480352542681e-13      -5.553754441182e-12       7.534570985063e-16       5.350161527127e-12       8.660462633390e-13      -5.308525358665e-15 
