# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.319342979432e-03       5.049335477793e+03      -8.789544291711e-03      -2.760707941026e+01      -2.417378180626e+00      -1.871971504194e+00      -1.535655609342e+00       3.163986855750e+00      -1.565786221570e+00 
       1.401344285732e-03       5.346025453950e+03      -1.049879795951e-02      -2.790338128287e+01      -2.432706315283e+00      -1.871898468871e+00      -1.104037477494e+00       3.159828006926e+00      -1.869714155594e+00 
       1.486562608957e-03       5.651846097608e+03      -1.249044487241e-02      -2.818464514078e+01      -2.449429258289e+00      -1.871702410129e+00      -5.970059697147e-01       3.154506490016e+00      -2.223665678953e+00 
       1.574828762325e-03       5.965873293622e+03      -1.479668508007e-02      -2.844996254153e+01      -2.467626963066e+00      -1.871372567555e+00      -2.272686667986e-01       3.147796396433e+00      -2.633286823538e+00 
       1.665960749640e-03       6.287153496712e+03      -1.745058825240e-02      -2.869858490883e+01      -2.487326339643e+00      -1.870877960155e+00      -4.244813026436e-01       3.139447150599e+00      -3.104359799247e+00 
       1.759769698314e-03       6.614719701083e+03      -2.048578276107e-02      -2.892992256256e+01      -2.508485764038e+00      -1.870161152623e+00      -1.129238465933e+00       3.129184065754e+00      -3.642745896368e+00 
       1.856065072773e-03       6.947618733147e+03      -2.393619090847e-02      -2.914353729814e+01      -2.531174297740e+00      -1.869209843282e+00      -1.800111527408e+00       3.116709239405e+00      -4.254336833545e+00 
       1.954658987774e-03       7.284926674010e+03      -2.783577783300e-02      -2.933912747805e+01      -2.555300652847e+00      -1.867948155811e+00      -2.527975395178e+00       3.101702662102e+00      -4.945008685118e+00 
       2.055369565667e-03       7.625763420148e+03      -3.221833458555e-02      -2.951650967119e+01      -2.580877120782e+00      -1.866342087852e+00      -3.321679454375e+00       3.083823476745e+00      -5.720581963384e+00 
       2.158023376380e-03       7.969301502912e+03      -3.711730140010e-02      -2.967560627992e+01      -2.607863141366e+00      -1.864336589132e+00      -4.163452123163e+00       3.062711486044e+00      -6.586789365824e+00 
       2.262457060233e-03       8.314771869590e+03      -4.256563188569e-02      -2.981643102578e+01      -2.636169839092e+00      -1.861857168961e+00      -5.063597588167e+00       3.037988771401e+00      -7.549251190095e+00 
       2.368518264944e-03       8.661467274660e+03      -4.859566448002e-02      -2.993906582467e+01      -2.665775159342e+00      -1.858855782490e+00      -6.020545424925e+00       3.009261108730e+00      -8.613451641359e+00 
       2.476066036375e-03       9.008741963789e+03      -5.523900674515e-02      -3.004364475231e+01      -2.696593168167e+00      -1.855258156371e+00      -7.034286633444e+00       2.976119304953e+00      -9.784717438678e+00 
       2.584970795220e-03       9.356010177987e+03      -6.252651116967e-02      -3.013035352824e+01      -2.728525688558e+00      -1.850984425086e+00      -8.105830736541e+00       2.938141357809e+00      -1.106821458579e+01 
       2.695114015810e-03       9.702744196495e+03      -7.048819286791e-02      -3.019940683239e+01      -2.761511318411e+00      -1.845968588133e+00      -9.235284132859e+00       2.894893729126e+00      -1.246893292964e+01 
       2.806387703506e-03       1.004847144434e+04      -7.915316009354e-02      -3.025103798301e+01      -2.795449615187e+00      -1.840127846187e+00      -1.042280438592e+01       2.845930947043e+00      -1.399167304565e+01 
       2.918693747237e-03       1.039276981689e+04      -8.854969508355e-02      -3.028550712784e+01      -2.830222817629e+00      -1.833371439077e+00      -1.166858093768e+01       2.790799926406e+00      -1.564106369279e+01 
       3.031943205484e-03       1.073526401026e+04      -9.870508035477e-02      -3.030307101977e+01      -2.865737037573e+00      -1.825616865416e+00      -1.297268105383e+01       2.729045631108e+00      -1.742152728620e+01 
       3.146055568483e-03       1.107562070643e+04      -1.096457341881e-01      -3.030400147154e+01      -2.901886449745e+00      -1.816775657612e+00      -1.433511556915e+01       2.660195810534e+00      -1.933730825083e+01 
