# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       1.463064160994e-04      -6.621283984014e-05      -1.643294667050e-04      -9.977611793703e-05      -6.942693377847e-06      -2.255800132242e-01       1.991109763440e-03      -8.203840708528e-04      -1.570139860097e-03      -4.751769088025e-04      -9.771695993094e-03       3.335890166639e-05      -6.116348956060e-04      -1.617921247809e-04       4.084852269238e+01       1.715987122495e+02       3.243647404276e+02 
       1.614244532804e-04      -8.860259091336e-05      -2.199244101515e-04      -1.335130306058e-04      -9.291811495770e-06      -2.259223357751e-01      -9.448106050595e-04      -2.038339505578e-03       1.152216816519e-03       3.664150594474e-04      -1.188974913809e-02       3.582394329336e-05      -8.131887680530e-04      -2.151178636257e-04       4.490935853429e+01       1.886576944926e+02       3.566105112696e+02 
       1.770087351978e-04      -1.164330816699e-04      -2.889837183830e-04      -1.754050752160e-04      -1.221009529904e-05      -2.263103720392e-01       5.201852670076e-04      -1.938692048012e-03      -1.158393083635e-04      -2.394449210861e-05      -1.429190260030e-02       4.028663643742e-05      -1.063073396611e-03      -2.812134289681e-04       4.908002339219e+01       2.061780526159e+02       3.897283993597e+02 
       1.931170053927e-04      -1.507022839279e-04      -3.740595349594e-04      -2.270149629145e-04      -1.580554751218e-05      -2.267498337398e-01       7.492650580932e-04      -2.266681492057e-03      -2.492134313118e-04      -6.388215152125e-05      -1.700643035025e-02       4.453242869006e-05      -1.370464087494e-03      -3.625319072678e-04       5.337570300755e+01       2.242235798024e+02       4.238389900263e+02 
       2.098118124213e-04      -1.926586587237e-04      -4.782135212824e-04      -2.901672799402e-04      -2.020724769345e-05      -2.272462265161e-01       7.201212068208e-04      -2.725492915489e-03      -1.441366199363e-04      -3.009058665936e-05      -2.006863371965e-02       4.909304034679e-05      -1.746295833674e-03      -4.619516473623e-04       5.781258500531e+01       2.428622779626e+02       4.590708241349e+02 
       2.271611294778e-04      -2.437584592865e-04      -6.050942805362e-04      -3.670993504487e-04      -2.557015637881e-05      -2.278063363488e-01       1.001814550360e-04      -3.423819283131e-03       5.058373584338e-04       1.720821080158e-04      -2.351913408960e-02       5.391381921450e-05      -2.203728427818e-03      -5.829578651499e-04       6.240802419794e+01       2.621670521682e+02       4.955617108516e+02 
       2.452390204812e-04      -3.058035001079e-04      -7.591314868315e-04      -4.604709145051e-04      -3.208105554020e-05      -2.284375794265e-01       1.733667192009e-03      -3.490251301037e-03      -8.608460497431e-04      -2.482251374863e-04      -2.740613184797e-02       6.009236350491e-05      -2.758604174406e-03      -7.297417006901e-04       6.718070925013e+01       2.822164107954e+02       5.334600509485e+02 
       2.641263503068e-04      -3.809331868310e-04      -9.456577140528e-04      -5.735070207967e-04      -3.996591155105e-05      -2.291496633452e-01       7.999304875794e-04      -4.421696598412e-03       9.237074576992e-05       4.797039321322e-05      -3.178376682356e-02       6.614053954300e-05      -3.430077528536e-03      -9.073636054894e-04       7.215083061763e+01       3.030951711355e+02       5.729261707488e+02 
       2.839115330950e-04      -4.717417907477e-04      -1.171143554147e-03      -7.101278255922e-04      -4.949901643332e-05      -2.299526976219e-01       5.233232137623e-04      -5.231821427888e-03       4.702217766267e-04       1.667831224584e-04      -3.671729885860e-02       7.332901081869e-05      -4.241418369310e-03      -1.121991307258e-03       7.734024863172e+01       3.248951653654e+02       6.141336564947e+02 
       3.046913073430e-04      -5.814338659731e-04      -1.443505035712e-03      -8.750994555663e-04      -6.101434889164e-05      -2.308590495926e-01       1.523633120930e-03      -5.740277537242e-03      -2.784335679371e-04      -6.188393071047e-05      -4.228206315483e-02       8.205912937517e-05      -5.220934255585e-03      -1.381105324929e-03       8.277265905726e+01       3.477159359591e+02       6.572706689263e+02 
