# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357220103656e-02       1.289362929875e+04 
       1.370173241236e-02       1.291660653629e+04 
       1.383130016222e-02       1.293804129839e+04 
       1.396090440591e-02       1.295865384948e+04 
       1.409054528613e-02       1.297808707539e+04 
       1.422022296826e-02       1.299640597069e+04 
       1.434993763993e-02       1.301334598712e+04 
       1.447968951079e-02       1.302989680107e+04 
       1.460947881223e-02       1.304529316860e+04 
       1.473930579715e-02       1.305942664986e+04 
       1.486917073977e-02       1.307252891579e+04 
       1.499907393542e-02       1.308412829466e+04 
       1.512901570044e-02       1.309577161672e+04 
       1.525899637203e-02       1.310567068654e+04 
       1.538901630818e-02       1.311476177120e+04 
       1.551907588757e-02       1.312271099909e+04 
       1.564917550952e-02       1.313052947705e+04 
       1.577931559401e-02       1.313688442298e+04 
       1.590949658161e-02       1.314196121899e+04 
       1.603971893355e-02       1.314624299781e+04 
       1.616998313173e-02       1.315012306727e+04 
       1.630028967877e-02       1.315299153562e+04 
       1.643063909811e-02       1.315457858781e+04 
       1.656103193409e-02       1.315564768581e+04 
       1.669146875206e-02       1.315572450812e+04 
       1.682195013851e-02       1.315514911866e+04 
       1.695247670125e-02       1.315364167307e+04 
       1.708304906952e-02       1.315131241472e+04 
       1.721366789423e-02       1.314818184180e+04 
       1.734433384812e-02       1.314431173571e+04 
       1.747504762601e-02       1.313983274937e+04 
       1.760580994501e-02       1.313415781941e+04 
       1.773662154480e-02       1.312798637528e+04 
       1.786748318785e-02       1.312116184245e+04 
       1.799839565976e-02       1.311344918910e+04 
       1.812935976953e-02       1.310485529937e+04 
       1.826037634990e-02       1.309570704490e+04 
       1.839144625766e-02       1.308580541923e+04 
       1.852257037400e-02       1.307529014693e+04 
       1.865374960492e-02       1.306424251812e+04 
       1.878498488157e-02       1.305234270534e+04 
       1.891627716068e-02       1.303977544573e+04 
       1.904762742497e-02       1.302638427193e+04 
       1.917903668358e-02       1.301271006467e+04 
       1.931050597254e-02       1.299822705343e+04 
       1.944203635524e-02       1.298312623448e+04 
       1.957362892291e-02       1.296740506965e+04 
       1.970528479514e-02       1.295106764931e+04 
       1.983700512040e-02       1.293397272996e+04 
       1.996879107659e-02       1.291639579201e+04 
       2.010064387163e-02       1.289839050602e+04 
       2.023256474401e-02       1.287976524751e+04 
       2.036455496339e-02       1.286035611878e+04 
       2.049661583128e-02       1.284077229690e+04 
       2.062874868164e-02       1.282053642586e+04 
       2.076095488158e-02       1.280001772372e+04 
       2.089323583201e-02       1.277840591819e+04 
       2.102559296841e-02       1.275651994237e+04 
       2.115802776152e-02       1.273429647000e+04 
       2.129054171813e-02       1.271140293575e+04 
       2.142313638184e-02       1.268815131435e+04 
       2.155581333391e-02       1.266444048069e+04 
       2.168857419404e-02       1.264022268010e+04 
       2.182142062129e-02       1.261551541083e+04 
       2.195435431493e-02       1.259047313366e+04 
       2.208737701537e-02       1.256491108333e+04 
       2.222049050510e-02       1.253927817746e+04 
       2.235369660969e-02       1.251261273847e+04 
       2.248699719875e-02       1.248588330771e+04 
       2.262039418702e-02       1.245862473388e+04 
       2.275388953541e-02       1.243101938388e+04 
       2.288748525209e-02       1.240299042382e+04 
       2.302118339367e-02       1.237466761917e+04 
       2.315498606635e-02       1.234612797420e+04 
       2.328889542710e-02       1.231678444280e+04 
       2.342291368497e-02       1.228729223427e+04 
       2.355704310234e-02       1.225758844635e+04 
       2.369128599624e-02       1.222734576964e+04 
       2.382564473976e-02       1.219684043128e+04 
       2.396012176342e-02       1.216626712594e+04 
       2.409471955666e-02       1.213491667953e+04 
       2.422944066933e-02       1.210345661946e+04 
       2.436428771324e-02       1.207173317215e+04 
       2.449926336379e-02       1.203965917425e+04 
       2.463437036160e-02       1.200737433861e+04 
       2.476961151422e-02       1.197474231632e+04 
       2.490498969791e-02       1.194184012901e+04 
       2.504050785947e-02       1.190865002444e+04 
       2.517616901810e-02       1.187525102716e+04 
       2.531197626734e-02       1.184176949573e+04 
       2.544793277713e-02       1.180765062063e+04 
       2.558404179583e-02       1.177348054924e+04 
       2.572030665240e-02       1.173905041522e+04 
       2.585673075862e-02       1.170440406561e+04 
       2.599331761136e-02       1.166952007189e+04 
       2.613007079499e-02       1.163445055146e+04 
       2.626699398383e-02       1.159914287917e+04 
       2.640409094464e-02       1.156363181752e+04 
       2.654136553932e-02       1.152807691919e+04 
       2.667882172759e-02       1.149220068818e+04 
       2.681646356983e-02       1.145593614493e+04 
       2.695429522998e-02       1.141971874447e+04 
       2.709232097856e-02       1.138326747213e+04 
       2.723054519580e-02       1.134665035020e+04 
       2.736897237493e-02       1.130991496465e+04 
       2.750760712546e-02       1.127305365613e+04 
       2.764645417674e-02       1.123585252035e+04 
       2.778551838153e-02       1.119861179664e+04 
       2.792480471975e-02       1.116122458313e+04 
       2.806431830242e-02       1.112386094621e+04 
       2.820406437562e-02       1.108605694923e+04 
       2.834404832474e-02       1.104832490608e+04 
       2.848427567880e-02       1.101033431043e+04 
       2.862475211498e-02       1.097233115453e+04 
       2.876548346330e-02       1.093434406302e+04 
       2.890647571153e-02       1.089610865667e+04 
       2.904773501022e-02       1.085762128345e+04 
       2.918926767802e-02       1.081924942656e+04 
       2.933108020712e-02       1.078061090319e+04 
       2.947317926897e-02       1.074196055095e+04 
       2.961557172025e-02       1.070325073087e+04 
       2.975826460900e-02       1.066449334877e+04 
       2.990126518113e-02       1.062550285148e+04 
