# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       2.098118124213e-04      -1.926478421438e-04      -4.782243378623e-04      -2.902219321333e-04      -2.021174282585e-05      -1.889806691692e-01      -9.209435368911e-04      -3.269238970667e-03       1.326668324824e-03       4.242689602093e-04      -2.026917766511e-02       4.599835991164e-05      -1.766221112414e-03      -4.683146428044e-04       5.781096046887e+01       2.428682711443e+02       4.591386908446e+02 
       2.271611294778e-04      -2.437476427066e-04      -6.051050971161e-04      -3.671642499280e-04      -2.557584430908e-05      -1.895550688425e-01       6.334490907705e-04      -3.301368767282e-03       3.245372471792e-05       2.561309187966e-05      -2.375596652199e-02       5.284980932979e-05      -2.229082491074e-03      -5.910469590246e-04       6.240627079960e+01       2.621735216779e+02       4.956349668653e+02 
       2.452390204812e-04      -3.057926835280e-04      -7.591423034114e-04      -4.605466305643e-04      -3.208819106880e-05      -1.902021650413e-01       2.069865850894e-03      -3.434927341382e-03      -1.135282037471e-03      -3.337785914588e-04      -2.768317349286e-02       5.992954551292e-05      -2.790571153029e-03      -7.399269338883e-04       6.717882175580e+01       2.822233736260e+02       5.335389002566e+02 
       2.641263503068e-04      -3.809115536712e-04      -9.456685306327e-04      -5.736049393093e-04      -3.997480046442e-05      -1.909335445999e-01       5.860479912356e-05      -4.708272204535e-03       7.606082346330e-04       2.542585118887e-04      -3.210336260161e-02       6.378423300858e-05      -3.470069270848e-03      -9.201004129536e-04       7.214880379209e+01       3.031026486992e+02       5.730108451769e+02 
       2.839115330950e-04      -4.717201575879e-04      -1.171165187307e-03      -7.102468079710e-04      -4.951002506521e-05      -1.917566777900e-01       1.324880742674e-03      -5.050171201021e-03      -2.303851814899e-04      -4.999423223952e-05      -3.708804852011e-02       7.235153357307e-05      -4.291117138130e-03      -1.137801161998e-03       7.733807642679e+01       3.249031803469e+02       6.142244113374e+02 
       3.046913073430e-04      -5.814008469398e-04      -1.443515852292e-03      -8.752514569784e-04      -6.102791703099e-05      -1.926861903353e-01       1.814649217745e-03      -5.726118064876e-03      -5.156138387710e-04      -1.357105042040e-04      -4.270906984833e-02       8.104920238989e-05      -5.282360474178e-03      -1.400639498912e-03       8.277033443591e+01       3.477245121293e+02       6.573677842903e+02 
       3.265715193731e-04      -7.138196950959e-04      -1.772373469195e-03      -1.074416573151e-03      -7.493635416133e-05      -1.937374480416e-01       7.785392776179e-04      -6.981133948764e-03       5.654498073679e-04       2.014434294733e-04      -4.905520565823e-02       8.964895269405e-05      -6.478794899983e-03      -1.717878970429e-03       8.847126548309e+01       3.716745599442e+02       7.026449773512e+02 
       3.496678873628e-04      -8.737206262775e-04      -2.169509323404e-03      -1.314886792152e-03      -9.173458569403e-05      -1.949252935337e-01       2.397398721408e-03      -7.536704802932e-03      -6.773496034777e-04      -1.793610969864e-04      -5.623243395306e-02       1.028309478147e-04      -7.923224468628e-03      -2.100876985431e-03       9.446869063730e+01       3.968702021998e+02       7.502769473131e+02 
       3.741067060224e-04      -1.066934915631e-03      -2.649397137394e-03      -1.605360352091e-03      -1.120349893772e-04      -1.962723995016e-01       1.649166931341e-03      -8.964618592677e-03       1.968503680769e-04       9.506350486820e-05      -6.435818749421e-02       1.158284917836e-04      -9.668160828999e-03      -2.563554482233e-03       1.007926768834e+02       4.234377526360e+02       8.005024883886e+02 
       4.000254369668e-04      -1.300597520827e-03      -3.229779517944e-03      -1.956565023042e-03      -1.365899794030e-04      -1.978004611580e-01       2.336287891513e-03      -1.010895467681e-02      -1.701317078740e-04      -1.339035660691e-05      -7.357559240532e-02       1.332562791569e-04      -1.177807079722e-02      -3.123001657057e-03       1.074756080386e+02       4.515132580837e+02       8.535787949656e+02 
       4.275731119149e-04      -1.583502321313e-03      -3.932503679250e-03      -2.381671983546e-03      -1.663251372393e-04      -1.995377530429e-01       2.826577839593e-03      -1.149895123040e-02      -3.271548595119e-04      -5.581412151261e-05      -8.404769838092e-02       1.542347512017e-04      -1.433229569466e-02      -3.800262450721e-03       1.145521927400e+02       4.812425321974e+02       9.097815254893e+02 
       4.569104556571e-04      -1.926454511104e-03      -4.784454515270e-03      -2.896860559939e-03      -2.023797615207e-04      -2.015156352677e-01       2.624014040161e-03      -1.331611786479e-02       1.594540356442e-04       1.021756907910e-04      -9.596473319572e-02       1.792529311875e-04      -1.742843181374e-02      -4.621212968784e-03       1.220593856142e+02       5.127808242363e+02       9.694041762891e+02 
       4.882096147796e-04      -2.342744820412e-03      -5.818697172132e-03      -3.522055461668e-03      -2.461561036122e-04      -2.037712866948e-01       3.803661133981e-03      -1.495104789983e-02      -5.219119347338e-04      -9.909581199149e-05      -1.095498161360e-01       2.119366505515e-04      -2.118656140863e-02      -5.617700638196e-03       1.300361927149e+02       5.462920015920e+02       1.032756536108e+03 
       5.216533592001e-04      -2.848746704719e-03      -7.075895158689e-03      -4.281742579130e-03      -2.993785274612e-04      -2.063473588064e-01       3.581053073430e-03      -1.730294753188e-02       7.299938977896e-05       9.658351898922e-05      -1.250569045573e-01       2.510590814168e-04      -2.575434958147e-02      -6.828870092276e-03       1.385233291852e+02       5.819471117204e+02       1.100161967476e+03 
       5.574336111076e-04      -3.464505563730e-03      -8.605922016920e-03      -5.205913441883e-03      -3.641636521296e-04      -2.092931279555e-01       4.621278437557e-03      -1.959073957212e-02      -3.792645870600e-04      -2.845102086591e-05      -1.427832893113e-01       3.018332459956e-04      -3.131292451682e-02      -8.302737267732e-03       1.475626951059e+02       6.199221800368e+02       1.171953243761e+03 
       5.957491561832e-04      -4.214572756616e-03      -1.046983392453e-02      -6.331257888906e-03      -4.431021406276e-04      -2.126650783223e-01       5.058546649616e-03      -2.244141048947e-02      -2.387350118693e-04       3.373520478773e-05      -1.630655396671e-01       3.652462995259e-04      -3.808396063362e-02      -1.009809995424e-02       1.571966407586e+02       6.603951233343e+02       1.248466713842e+03 
       6.368024128256e-04      -5.128829369962e-03      -1.274197892801e-02      -7.702436439967e-03      -5.393520615295e-04      -2.165276123928e-01       5.702320450536e-03      -2.566121256641e-02      -2.100796145729e-04       6.646219047123e-05      -1.862890742765e-01       4.461850589422e-04      -4.633749669520e-02      -1.228654853974e-02       1.674669959909e+02       7.035416719839e+02       1.330034593299e+03 
       6.807951847174e-04      -6.243500129811e-03      -1.551250354275e-02      -9.373546796138e-03      -6.567426903470e-04      -2.209529057886e-01       6.832801065125e-03      -2.922732281937e-02      -5.100216669692e-04       4.156982438828e-06      -2.128882300583e-01       5.498397747094e-04      -5.640084753262e-02      -1.495487355335e-02       1.784138599350e+02       7.495302855763e+02       1.416975352334e+03 
       7.279234067888e-04      -7.602180976753e-03      -1.888990489653e-02      -1.140962962157e-02      -7.998861427711e-04      -2.260227654422e-01       7.407069800863e-03      -3.353387863276e-02      -2.464335702807e-04       1.246963794102e-04      -2.433472487847e-01       6.819540507476e-04      -6.866800137532e-02      -1.820753355351e-02       1.900741671514e+02       7.985161289260e+02       1.509582327623e+03 
       7.783710154798e-04      -9.256916169561e-03      -2.300370242480e-02      -1.388826939734e-02      -9.742924389957e-04      -2.318260023059e-01       8.855712712021e-03      -3.821706946571e-02      -6.187903478484e-04       5.952363912031e-05      -2.782029487759e-01       8.519855629343e-04      -8.360933313994e-02      -2.216924826069e-02       2.024800816896e+02       8.506343257388e+02       1.608110968452e+03 
       8.323032229236e-04      -1.126923041464e-02      -2.800705377513e-02      -1.690111045048e-02      -1.186481729214e-03      -2.384611895802e-01       9.904158107569e-03      -4.375726076961e-02      -5.364511259835e-04       1.491492507735e-04      -3.180382867585e-01       1.069610026625e-03      -1.017810108697e-01      -2.698749604870e-02       2.156573098165e+02       9.059928699877e+02       1.712765435703e+03 
       8.898596308005e-04      -1.371102721143e-02      -3.407911225232e-02      -2.055516234439e-02      -1.444085694592e-03      -2.460329258696e-01       1.141430295338e-02      -4.998008813808e-02      -7.160165994004e-04       1.758394462925e-04      -3.634810524750e-01       1.348812710322e-03      -1.238334759331e-01      -3.283472052705e-02       2.296234496062e+02       9.646656925583e+02       1.823685494627e+03 
       9.511477507798e-04      -1.666539611087e-02      -4.142678479726e-02      -2.497392935754e-02      -1.755929029863e-03      -2.546525319986e-01       1.314929318390e-02      -5.705638692599e-02      -9.409707191995e-04       2.114442115197e-04      -4.151936640941e-01       1.705946005639e-03      -1.505180974977e-01      -3.991015057281e-02       2.443865358731e+02       1.026686548281e+03       1.940934958171e+03 
       1.016237566123e-03      -2.022698844920e-02      -5.028595881484e-02      -3.029796212896e-02      -2.132081893002e-03      -2.644357476493e-01       1.487856087436e-02      -6.515880625785e-02      -1.012288415453e-03       3.235899424985e-04      -4.738640139689e-01       2.161391195552e-03      -1.826912685980e-01      -4.844085807825e-02       2.599439322871e+02       1.092044361729e+03       2.064492888414e+03 
       1.085157739717e-03      -2.450215283987e-02      -6.092172249060e-02      -3.668493622087e-02      -2.583875564499e-03      -2.755001370898e-01       1.722274088414e-02      -7.419847995978e-02      -1.430229107134e-03       3.647538604942e-04      -5.401935333949e-01       2.740134010308e-03      -2.213153597027e-01      -5.868199477704e-02       2.762817134410e+02       1.160680631230e+03       2.194248688842e+03 
       1.157893933083e-03      -2.960860498322e-02      -7.362763154046e-02      -4.430919440647e-02      -3.123876196109e-03      -2.879642306797e-01       1.950007613809e-02      -8.448961886092e-02      -1.623487232101e-03       5.204744681962e-04      -6.148827872024e-01       3.471535202070e-03      -2.674559946439e-01      -7.091610624536e-02       2.933746228445e+02       1.232489252341e+03       2.330001770680e+03 
       1.234389463579e-03      -3.567475646920e-02      -8.872399848319e-02      -5.336057335571e-02      -3.765816983064e-03      -3.019436923849e-01       2.238137847109e-02      -9.592572291571e-02      -2.136785753483e-03       6.324681977628e-04      -6.986191462714e-01       4.390819247889e-03      -3.222756859145e-01      -8.545142003581e-02       3.111867304208e+02       1.307319280032e+03       2.471466774688e+03 
       1.314548237718e-03      -4.283855227970e-02      -1.065551122102e-01      -6.404268038336e-02      -4.524486436689e-03      -3.175506138535e-01       2.542215818078e-02      -1.087416166577e-01      -2.599538966344e-03       8.274307880026e-04      -7.920628028327e-01       5.538520996246e-03      -3.870237177495e-01      -1.026191500718e-01       3.296723374959e+02       1.384978730643e+03       2.618280758745e+03 
